,exercism/exercism,freecodecamp/freecodecamp,ossu/computer-science
2022-12-15,0,4,-0.06718739249999997
2022-12-16,0,7,-0.047636626031249976
2022-12-17,0,0,-0.03746020507187488
2022-12-18,0,0,3.98388325
2022-12-19,0,7,1.5868379874999996
2022-12-20,0,8,-0.3910936962500003
2022-12-21,0,4,-0.21356831301562512
2022-12-22,0,7,-0.14804885253593722
2022-12-23,0,6,-0.10579199999999964
2022-12-24,0,1,-0.08488154999999974
2022-12-25,0,0,-0.07069880999999979
2022-12-26,0,0,-0.06046064456249983
2022-12-27,0,0,-0.052732036174999865
2022-12-28,0,1,-0.016797705071874957
2022-12-29,0,0,0.0
2022-12-30,0,1,0.0
2022-12-31,0,3,0.0
2023-01-01,0,0,0.0
2023-01-02,0,12,0.0
2023-01-03,0,10,0.0
2023-01-04,0,7,0.0
2023-01-05,0,5,0.0
2023-01-06,0,7,0.0
2023-01-07,0,6,0.0
2023-01-08,0,3,0.0
2023-01-09,0,6,0.0
2023-01-10,0,9,0.0
2023-01-11,0,8,2.0
2023-01-12,0,3,-0.20000000000000018
2023-01-13,0,3,-0.09000000000000007
2023-01-14,0,0,-0.057000000000000044
2023-01-15,0,0,1.9586750000000002
2023-01-16,0,2,-0.23223350000000006
2023-01-17,0,6,-0.11632402499999998
2023-01-18,0,2,-0.07918739249999998
2023-01-19,0,8,-0.0604616260312498
2023-01-20,0,3,-0.04903120507187485
2023-01-21,0,1,1.9736759750000001
2023-01-22,0,0,-0.2221873925000001
2023-01-23,0,11,-0.10913662603125002
2023-01-24,0,1,-0.073797705071875
2023-01-25,0,10,-0.04132499999999985
2023-01-26,0,7,-0.032233499999999894
2023-01-27,0,6,-0.02632402499999992
2023-01-28,0,0,-0.022187392499999934
2023-01-29,0,1,-0.01913662603124995
2023-01-30,0,7,-0.016797705071874957
2023-01-31,0,3,0.0
2023-02-01,0,6,0.0
2023-02-02,0,7,0.0
2023-02-03,0,2,0.0
2023-02-04,0,0,0.0
2023-02-05,0,1,0.0
2023-02-06,0,2,1.0
2023-02-07,0,2,-0.10000000000000009
2023-02-08,0,8,-0.04500000000000003
2023-02-09,0,6,-0.028500000000000022
2023-02-10,1,11,-0.020662499999999924
2023-02-11,0,4,-0.016116749999999947
2023-02-12,0,0,-0.01316201249999996
2023-02-13,0,7,-0.011093696249999967
2023-02-14,0,3,-0.009568313015624975
2023-02-15,0,0,-0.008398852535937478
2023-02-16,0,7,0.0
2023-02-17,0,5,0.0
2023-02-18,0,15,0.0
2023-02-19,0,3,0.0
2023-02-20,0,6,0.0
2023-02-21,0,10,0.0
2023-02-22,0,4,0.0
2023-02-23,0,8,0.0
2023-02-24,0,9,0.0
2023-02-25,0,0,0.0
2023-02-26,0,0,0.0
2023-02-27,0,5,0.0
2023-02-28,0,14,0.0
2023-03-01,0,2,0.0
2023-03-02,0,4,0.0
2023-03-03,0,2,0.0
2023-03-04,0,0,0.0
2023-03-05,0,0,0.0
2023-03-06,0,11,0.0
2023-03-07,0,8,0.0
2023-03-08,0,8,0.0
2023-03-09,0,6,0.0
2023-03-10,0,12,0.0
2023-03-11,0,3,0.0
2023-03-12,0,1,0.0
2023-03-13,0,8,0.0
2023-03-14,0,6,0.0
2023-03-15,0,6,0.0
2023-03-16,0,9,0.0
2023-03-17,0,5,0.0
2023-03-18,0,5,0.0
2023-03-19,0,1,0.0
2023-03-20,0,5,0.0
2023-03-21,0,14,0.0
2023-03-22,0,3,0.0
2023-03-23,0,9,0.0
2023-03-24,0,13,0.0
2023-03-25,0,2,0.0
2023-03-26,0,0,0.0
2023-03-27,0,5,0.0
2023-03-28,0,4,0.0
2023-03-29,0,3,0.0
2023-03-30,0,13,0.0
2023-03-31,0,5,0.0
2023-04-01,0,1,0.0
2023-04-02,0,1,0.0
2023-04-03,0,12,0.0
2023-04-04,0,3,1.0
2023-04-05,0,10,1.9
2023-04-06,0,7,-0.24500000000000022
2023-04-07,0,3,-0.11850000000000009
2023-04-08,0,2,-0.07766249999999997
2023-04-09,0,0,0.9425582500000003
2023-04-10,0,9,-0.14539551249999993
2023-04-11,0,4,-0.08241772124999992
2023-04-12,0,6,-0.06025570551562494
2023-04-13,0,5,-0.048197978567187355
2023-04-14,0,2,-0.032914455071874904
2023-04-15,0,0,-0.01316201249999996
2023-04-16,0,0,-0.011093696249999967
2023-04-17,0,15,-0.009568313015624975
2023-04-18,0,6,-0.008398852535937478
2023-04-19,0,10,0.0
2023-04-20,0,13,0.0
2023-04-21,0,4,0.0
2023-04-22,0,1,0.0
2023-04-23,0,1,0.0
2023-04-24,0,11,0.0
2023-04-25,0,8,0.0
2023-04-26,0,11,1.0
2023-04-27,0,8,-0.10000000000000009
2023-04-28,0,7,-0.04500000000000003
2023-04-29,0,1,-0.028500000000000022
2023-04-30,0,1,-0.020662499999999924
2023-05-01,0,6,-0.016116749999999947
2023-05-02,0,7,-0.01316201249999996
2023-05-03,0,7,-0.011093696249999967
2023-05-04,0,5,-0.009568313015624975
2023-05-05,0,9,0.9916011474640625
2023-05-06,0,0,-0.10000000000000009
2023-05-07,0,0,-0.04500000000000003
2023-05-08,0,6,-0.028500000000000022
2023-05-09,0,14,-0.020662499999999924
2023-05-10,0,8,-0.016116749999999947
2023-05-11,0,2,-0.01316201249999996
2023-05-12,0,6,-0.011093696249999967
2023-05-13,0,0,-0.009568313015624975
2023-05-14,0,0,-0.008398852535937478
2023-05-15,0,4,0.0
2023-05-16,0,8,0.0
2023-05-17,0,7,0.0
2023-05-18,0,9,0.0
2023-05-19,0,5,0.0
2023-05-20,0,1,0.0
2023-05-21,0,0,0.0
2023-05-22,0,5,0.0
2023-05-23,0,5,0.0
2023-05-24,0,14,0.0
2023-05-25,0,5,0.0
2023-05-26,0,7,0.0
2023-05-27,0,1,0.0
2023-05-28,0,2,0.0
2023-05-29,0,1,0.0
2023-05-30,0,6,0.0
2023-05-31,0,6,0.0
2023-06-01,0,8,0.0
2023-06-02,0,6,0.0
2023-06-03,0,2,0.0
2023-06-04,0,2,0.0
2023-06-05,0,3,0.0
2023-06-06,0,4,0.0
2023-06-07,0,7,0.0
2023-06-08,0,1,0.0
2023-06-09,0,4,0.0
2023-06-10,0,0,0.0
2023-06-11,0,0,0.0
2023-06-12,0,4,0.0
2023-06-13,0,2,0.0
2023-06-14,0,9,0.0
2023-06-15,0,5,0.0
2023-06-16,0,6,0.0
2023-06-17,0,2,0.0
2023-06-18,0,0,0.0
2023-06-19,0,1,0.0
2023-06-20,0,8,0.0
2023-06-21,0,4,0.0
2023-06-22,0,10,0.0
2023-06-23,0,2,0.0
2023-06-24,0,1,0.0
2023-06-25,0,1,0.0
2023-06-26,0,3,0.0
2023-06-27,0,4,0.0
2023-06-28,0,1,0.0
2023-06-29,0,14,0.0
2023-06-30,0,6,0.0
2023-07-01,0,1,0.0
2023-07-02,0,0,0.0
2023-07-03,0,6,0.0
2023-07-04,0,2,0.0
2023-07-05,0,7,0.0
2023-07-06,0,12,0.0
2023-07-07,0,3,0.0
2023-07-08,0,1,0.0
2023-07-09,0,0,0.0
2023-07-10,0,8,0.0
2023-07-11,1,14,0.0
2023-07-12,0,6,0.0
