,shakacode/shakapacker,rails/importmap-rails,rails/webpacker
2021-10-26,0,-0.01438771199999994,0
2021-10-27,2,-0.012469350399999964,2
2021-10-28,0,0.0,0
2021-10-29,0,0.0,0
2021-10-30,0,0.0,0
2021-10-31,0,1.0,0
2021-11-01,0,-0.19999999999999996,0
2021-11-02,0,0.9199999999999999,0
2021-11-03,1,0.752,1
2021-11-04,1,1.6864,1
2021-11-05,1,1.446464,1
2021-11-06,0,-0.6620288000000001,0
2021-11-07,0,-0.33206272000000026,0
2021-11-08,0,0.7764474879999999,0
2021-11-09,3,-0.3680968704,3
2021-11-10,0,-0.20324403200000007,0
2021-11-11,0,-0.14956810239999999,0
2021-11-12,1,-0.10869821439999988,1
2021-11-13,1,-0.07925012479999982,1
2021-11-14,0,-0.04536750079999994,0
2021-11-15,5,-0.01692672000000001,5
2021-11-16,0,-0.01438771199999994,0
2021-11-17,0,-0.012469350399999964,0
2021-11-18,0,0.0,0
2021-11-19,1,0.0,1
2021-11-20,0,0.0,0
2021-11-21,0,0.0,0
2021-11-22,0,2.0,0
2021-11-23,2,6.6,2
2021-11-24,0,0.44000000000000017,0
2021-11-25,0,-0.056000000000000494,0
2021-11-26,0,-0.7632000000000003,0
2021-11-27,0,-0.46227200000000024,0
2021-11-28,0,-0.3348096000000002,0
2021-11-29,0,-0.2615270400000001,0
2021-11-30,0,-0.21365606399999998,0
2021-12-01,0,1.8200650752000005,0
2021-12-02,0,-0.5329875967999995,0
2021-12-03,1,3.8006735872,1
2021-12-04,1,-0.9084693503999999,1
2021-12-05,5,-0.3872000000000003,0
2021-12-06,0,-0.24307200000000018,0
2021-12-07,0,0.8247423999999999,0
2021-12-08,0,2.66400256,0
2021-12-09,0,-0.7904906239999998,0
2021-12-10,0,-0.3806455808000002,0
2021-12-11,0,-0.23515084799999986,0
2021-12-12,0,-0.1762134015999999,0
2021-12-13,0,-0.09703680000000005,0
2021-12-14,0,3.92178688,0
2021-12-15,0,2.134832128,0
2021-12-16,0,-0.9756324863999999,0
2021-12-17,0,-0.46940805120000023,0
2021-12-18,0,-0.27840000000000015,0
2021-12-19,0,-0.20294400000000007,0
2021-12-20,0,-0.15832320000000008,0
2021-12-21,0,-0.12899328000000007,0
2021-12-22,0,-0.10833100799999978,0
2021-12-23,0,-0.09304053759999967,0
2021-12-24,0,-0.03740805119999989,0
2021-12-25,0,0.0,0
2021-12-26,0,0.0,0
2021-12-27,0,0.0,0
2021-12-28,3,0.0,3
2021-12-29,6,2.0,6
2021-12-30,0,-0.3999999999999999,0
2021-12-31,0,-0.16000000000000014,0
2022-01-01,0,-0.09600000000000007,0
2022-01-02,0,0.9328,0
2022-01-03,0,-0.25107199999999996,0
2022-01-04,0,-0.12085760000000009,0
2022-01-05,0,-0.08185344000000006,0
2022-01-06,1,-0.06237542399999989,1
2022-01-07,0,-0.05047470079999994,0
2022-01-08,0,-0.02042880000000001,0
2022-01-09,0,-0.01692672000000001,0
2022-01-10,8,-0.01438771199999994,8
2022-01-11,0,1.9875306496,0
2022-01-12,0,0.6000000000000001,0
2022-01-13,0,-0.3600000000000001,0
2022-01-14,0,0.8239999999999998,0
2022-01-15,0,-0.31520000000000004,0
2022-01-16,0,0.8353279999999998,0
2022-01-17,19,-0.31439360000000005,2
2022-01-18,6,-0.16788224000000013,0
2022-01-19,4,-0.11923814399999993,2
2022-01-20,1,-0.09335521279999989,0
2022-01-21,7,-0.05493207039999999,0
2022-01-22,2,-0.03481651199999995,0
2022-01-23,4,-0.029396070399999974,0
2022-01-24,1,-0.01438771199999994,1
2022-01-25,8,-0.012469350399999964,2
2022-01-26,0,0.0,0
2022-01-27,0,1.0,0
2022-01-28,2,-0.19999999999999996,0
2022-01-29,0,-0.08000000000000007,0
2022-01-30,0,-0.048000000000000036,0
2022-01-31,0,-0.03360000000000001,0
2022-02-01,4,-0.025536000000000014,0
2022-02-02,2,-0.02042880000000001,0
2022-02-03,0,-0.01692672000000001,0
2022-02-04,3,-0.01438771199999994,0
2022-02-05,0,-0.012469350399999964,0
2022-02-06,1,0.0,0
2022-02-07,4,0.0,0
2022-02-08,3,0.0,0
2022-02-09,1,0.0,0
2022-02-10,0,0.0,0
2022-02-11,0,1.0,0
2022-02-12,0,0.8,0
2022-02-13,0,-0.28,0
2022-02-14,0,-0.1280000000000001,0
2022-02-15,0,-0.08160000000000005,0
2022-02-16,0,-0.05913600000000002,0
2022-02-17,0,-0.04596480000000003,0
2022-02-18,0,-0.03735552000000002,0
2022-02-19,0,2.968685568,0
2022-02-20,5,-0.6268570623999997,0
2022-02-21,1,-0.2524693504000002,0
2022-02-22,1,-0.1440000000000001,0
2022-02-23,0,-0.10080000000000003,0
2022-02-24,0,-0.07660800000000004,0
2022-02-25,2,-0.06128640000000003,0
2022-02-26,0,-0.05078016000000003,0
2022-02-27,0,-0.04316313599999982,0
2022-02-28,1,-0.03740805119999989,0
2022-03-01,0,0.0,0
2022-03-02,0,0.0,0
2022-03-03,0,0.0,0
2022-03-04,0,0.0,0
2022-03-05,0,0.0,0
2022-03-06,0,0.0,0
2022-03-07,1,0.0,0
2022-03-08,1,0.0,0
2022-03-09,0,0.0,0
2022-03-10,1,0.0,0
2022-03-11,0,0.0,0
2022-03-12,0,0.0,0
2022-03-13,0,0.0,0
2022-03-14,1,0.0,0
2022-03-15,0,0.0,0
2022-03-16,0,0.0,0
2022-03-17,0,0.0,0
2022-03-18,0,0.0,0
2022-03-19,0,0.0,0
2022-03-20,2,1.0,0
2022-03-21,0,-0.19999999999999996,0
2022-03-22,5,0.9199999999999999,0
2022-03-23,0,0.752,0
2022-03-24,0,-0.31360000000000005,0
2022-03-25,0,-0.15353600000000012,0
2022-03-26,0,-0.10202880000000006,0
2022-03-27,0,-0.07606272000000003,0
2022-03-28,0,-0.06035251199999997,0
2022-03-29,0,-0.049824870399999985,0
2022-03-30,0,1.9686855680000002,0
2022-03-31,0,-0.4268570623999998,0
2022-04-01,1,-0.1724693504000001,0
2022-04-02,0,-0.09600000000000007,0
2022-04-03,0,-0.06720000000000002,0
2022-04-04,1,-0.05107200000000003,0
2022-04-05,0,-0.04085760000000002,0
2022-04-06,1,-0.03385344000000002,0
2022-04-07,1,-0.02877542399999988,0
2022-04-08,0,-0.02493870079999993,0
2022-04-09,0,0.0,0
2022-04-10,0,0.0,0
2022-04-11,3,0.0,0
2022-04-12,0,0.0,0
2022-04-13,0,0.0,0
2022-04-14,0,0.0,0
2022-04-15,0,0.0,0
2022-04-16,2,0.0,0
2022-04-17,0,0.0,0
2022-04-18,0,0.0,0
2022-04-19,0,0.0,0
2022-04-20,3,0.0,0
2022-04-21,0,0.0,0
2022-04-22,1,0.0,0
2022-04-23,7,0.0,0
2022-04-24,3,0.0,0
2022-04-25,0,0.0,0
2022-04-26,0,0.0,0
2022-04-27,0,0.0,0
2022-04-28,1,0.0,0
2022-04-29,0,0.0,0
2022-04-30,0,1.0,0
2022-05-01,0,-0.19999999999999996,0
2022-05-02,0,-0.08000000000000007,0
2022-05-03,0,-0.048000000000000036,0
2022-05-04,0,-0.03360000000000001,0
2022-05-05,0,1.974464,0
2022-05-06,0,-0.42042879999999994,0
2022-05-07,0,-0.17692672000000015,0
2022-05-08,0,-0.11038771200000001,0
2022-05-09,0,-0.07966935039999999,1
2022-05-10,1,-0.05107200000000003,0
2022-05-11,0,-0.04085760000000002,0
2022-05-12,0,-0.03385344000000002,0
2022-05-13,0,-0.02877542399999988,0
2022-05-14,0,-0.02493870079999993,0
2022-05-15,0,0.0,0
2022-05-16,0,0.0,0
2022-05-17,1,0.0,0
2022-05-18,0,0.0,0
2022-05-19,4,0.0,0
2022-05-20,0,0.0,0
2022-05-21,0,0.0,0
2022-05-22,0,3.0,0
2022-05-23,0,-0.5999999999999999,0
2022-05-24,0,-0.2400000000000002,0
2022-05-25,3,-0.1440000000000001,0
2022-05-26,1,-0.10080000000000003,0
2022-05-27,2,-0.07660800000000004,0
2022-05-28,0,-0.06128640000000003,0
2022-05-29,0,-0.05078016000000003,0
2022-05-30,0,-0.04316313599999982,0
2022-05-31,1,-0.03740805119999989,0
2022-06-01,0,0.0,0
2022-06-02,0,0.0,1
2022-06-03,5,0.0,0
2022-06-04,0,0.0,1
2022-06-05,5,0.0,0
2022-06-06,1,0.0,0
2022-06-07,1,0.0,0
2022-06-08,0,0.0,0
2022-06-09,0,0.0,0
2022-06-10,0,0.0,0
2022-06-11,0,0.0,0
2022-06-12,0,0.0,0
2022-06-13,0,0.0,0
2022-06-14,0,0.0,0
2022-06-15,0,0.0,9
2022-06-16,0,0.0,0
2022-06-17,0,0.0,0
2022-06-18,0,3.0,0
2022-06-19,0,-0.5999999999999999,0
2022-06-20,0,3.76,0
2022-06-21,0,-0.944,0
2022-06-22,0,-0.4208000000000003,0
2022-06-23,0,-0.2686080000000002,0
2022-06-24,0,-0.1956864000000001,0
2022-06-25,0,-0.1529241600000001,0
2022-06-26,0,-0.12487833599999987,0
2022-06-27,0,-0.10511493119999993,0
2022-06-28,0,-0.05755084799999976,0
2022-06-29,0,-0.04987740159999986,0
2022-06-30,2,0.0,0
2022-07-01,1,0.0,0
2022-07-02,0,0.0,0
2022-07-03,0,0.0,0
2022-07-04,3,0.0,0
2022-07-05,1,3.0,0
2022-07-06,0,0.40000000000000013,1
2022-07-07,3,-0.44000000000000017,0
2022-07-08,1,-0.22400000000000017,0
2022-07-09,0,-0.14880000000000007,0
2022-07-10,1,-0.11020800000000006,0
2022-07-11,0,-0.08682240000000005,0
2022-07-12,0,-0.07120896000000004,0
2022-07-13,0,1.9399101440000002,0
2022-07-14,0,-0.45179576319999976,0
2022-07-15,0,5.8275306496,0
2022-07-16,0,-1.2959999999999998,0
2022-07-17,0,-0.5472000000000005,0
2022-07-18,0,-0.3390720000000002,0
2022-07-19,0,-0.24245760000000008,0
2022-07-20,1,-0.1870694400000001,0
2022-07-21,0,-0.15134822399999995,0
2022-07-22,1,-0.1264990208,0
2022-07-23,0,-0.08632627199999963,0
2022-07-24,0,-0.07481610239999978,0
2022-07-25,0,0.0,0
2022-07-26,1,0.0,0
2022-07-27,0,0.0,0
2022-07-28,0,0.0,0
