,pytorch/pytorch,google/flax,deepmind/dm-haiku
2020-08-16,3,1,0
2020-08-17,15,7,0
2020-08-18,27,4,0
2020-08-19,15,5,0
2020-08-20,25,2,0
2020-08-21,48,4,0
2020-08-22,21,0,0
2020-08-23,7,0,1
2020-08-24,14,1,0
2020-08-25,23,7,2
2020-08-26,30,3,2
2020-08-27,31,11,0
2020-08-28,29,20,1
2020-08-29,25,0,0
2020-08-30,14,0,1
2020-08-31,37,2,0
2020-09-01,51,7,0
2020-09-02,35,2,0
2020-09-03,61,1,0
2020-09-04,30,1,1
2020-09-05,16,0,0
2020-09-06,9,4,0
2020-09-07,6,4,2
2020-09-08,21,9,3
2020-09-09,50,1,0
2020-09-10,29,3,1
2020-09-11,56,10,0
2020-09-12,10,0,0
2020-09-13,8,0,0
2020-09-14,32,11,1
2020-09-15,29,4,0
2020-09-16,44,8,1
2020-09-17,40,22,2
2020-09-18,31,20,0
2020-09-19,13,0,0
2020-09-20,2,1,0
2020-09-21,20,5,0
2020-09-22,38,8,0
2020-09-23,40,12,0
2020-09-24,47,6,0
2020-09-25,43,7,0
2020-09-26,19,0,0
2020-09-27,12,0,0
2020-09-28,35,11,0
2020-09-29,59,8,0
2020-09-30,39,9,0
2020-10-01,33,14,0
2020-10-02,39,12,0
2020-10-03,9,0,0
2020-10-04,2,0,1
2020-10-05,26,0,3
2020-10-06,38,0,1
2020-10-07,30,3,0
2020-10-08,51,2,1
2020-10-09,28,1,2
2020-10-10,10,0,0
2020-10-11,3,1,0
2020-10-12,18,10,0
2020-10-13,35,1,0
2020-10-14,40,9,1
2020-10-15,40,2,1
2020-10-16,26,2,0
2020-10-17,10,0,0
2020-10-18,5,0,0
2020-10-19,13,6,0
2020-10-20,25,4,1
2020-10-21,31,1,1
2020-10-22,39,3,0
2020-10-23,26,5,1
2020-10-24,9,3,1
2020-10-25,0,3,1
2020-10-26,17,2,2
2020-10-27,31,9,2
2020-10-28,31,2,0
2020-10-29,50,0,1
2020-10-30,26,9,1
2020-10-31,6,5,0
2020-11-01,3,0,1
2020-11-02,24,11,4
2020-11-03,45,12,0
2020-11-04,37,5,0
2020-11-05,35,7,1
2020-11-06,30,2,1
2020-11-07,13,0,1
2020-11-08,5,0,0
2020-11-09,25,5,1
2020-11-10,43,4,0
2020-11-11,47,9,2
2020-11-12,46,10,3
2020-11-13,47,11,3
2020-11-14,26,1,0
2020-11-15,6,1,1
2020-11-16,23,5,2
2020-11-17,30,3,1
2020-11-18,40,5,0
2020-11-19,39,2,1
2020-11-20,27,9,2
2020-11-21,22,1,0
2020-11-22,3,0,0
2020-11-23,1,23,1
2020-11-24,1,6,4
2020-11-25,11,1,0
2020-11-26,8,7,1
2020-11-27,6,10,0
2020-11-28,1,0,0
2020-11-29,2,0,0
2020-11-30,26,20,0
2020-12-01,39,6,0
2020-12-02,62,13,1
2020-12-03,39,11,0
2020-12-04,35,15,1
2020-12-05,22,0,0
2020-12-06,10,0,0
2020-12-07,16,0,0
2020-12-08,38,14,0
2020-12-09,36,10,2
2020-12-10,59,9,0
2020-12-11,46,1,1
2020-12-12,16,0,0
2020-12-13,1,0,0
2020-12-14,25,2,2
2020-12-15,30,4,0
2020-12-16,44,5,1
2020-12-17,51,15,2
2020-12-18,35,1,0
2020-12-19,16,0,0
2020-12-20,3,0,0
2020-12-21,28,0,3
2020-12-22,31,2,2
2020-12-23,27,4,0
2020-12-24,4,3,0
2020-12-25,1,2,0
2020-12-26,0,0,9
2020-12-27,0,2,0
2020-12-28,7,12,0
2020-12-29,8,6,0
2020-12-30,13,8,1
2020-12-31,5,0,0
2021-01-01,1,1,0
2021-01-02,0,1,0
2021-01-03,1,1,0
2021-01-04,21,0,3
2021-01-05,40,3,3
2021-01-06,46,4,2
2021-01-07,28,8,1
2021-01-08,43,1,1
2021-01-09,8,1,0
2021-01-10,4,0,0
2021-01-11,28,1,1
2021-01-12,43,4,3
2021-01-13,33,8,0
2021-01-14,27,11,7
2021-01-15,23,6,6
2021-01-16,11,1,1
2021-01-17,1,0,0
2021-01-18,7,2,0
2021-01-19,30,5,0
2021-01-20,44,3,0
2021-01-21,28,4,1
