,pqrs-org/karabiner-elements,hammerspoon/hammerspoon,tekezo/karabiner
2016-11-19,1,0,0
2016-11-20,0,0,0
2016-11-21,0,5,0
2016-11-22,0,2,0
2016-11-23,0,1,0
2016-11-24,0,0,0
2016-11-25,8,1,0
2016-11-26,1,1,0
2016-11-27,12,0,0
2016-11-28,0,6,0
2016-11-29,0,3,0
2016-11-30,0,0,0
2016-12-01,0,1,0
2016-12-02,3,1,0
2016-12-03,0,0,0
2016-12-04,0,0,0
2016-12-05,0,1,0
2016-12-06,0,0,0
2016-12-07,0,0,0
2016-12-08,0,0,0
2016-12-09,1,3,0
2016-12-10,0,3,0
2016-12-11,1,3,0
2016-12-12,11,1,0
2016-12-13,1,0,0
2016-12-14,5,1,0
2016-12-15,0,10,0
2016-12-16,0,3,0
2016-12-17,0,2,0
2016-12-18,0,0,0
2016-12-19,0,4,0
2016-12-20,0,0,0
2016-12-21,0,4,0
2016-12-22,0,2,0
2016-12-23,0,0,0
2016-12-24,4,16,0
2016-12-25,12,6,0
2016-12-26,1,29,0
2016-12-27,4,5,0
2016-12-28,2,5,0
2016-12-29,3,22,0
2016-12-30,0,0,0
2016-12-31,18,0,0
2017-01-01,5,0,0
2017-01-02,4,0,0
2017-01-03,3,0,0
2017-01-04,3,0,0
2017-01-05,0,0,0
2017-01-06,4,14,0
2017-01-07,0,0,0
2017-01-08,7,0,0
2017-01-09,0,1,0
2017-01-10,1,7,0
2017-01-11,3,0,0
2017-01-12,3,0,0
2017-01-13,0,0,0
2017-01-14,11,0,0
2017-01-15,0,0,0
2017-01-16,9,0,0
2017-01-17,0,0,0
2017-01-18,4,0,0
2017-01-19,5,2,0
2017-01-20,6,1,0
2017-01-21,0,0,0
2017-01-22,0,0,0
2017-01-23,6,0,0
2017-01-24,0,0,0
2017-01-25,4,0,0
2017-01-26,7,7,0
2017-01-27,8,3,0
2017-01-28,0,1,0
2017-01-29,21,0,0
2017-01-30,6,3,0
2017-01-31,3,1,0
2017-02-01,16,0,0
2017-02-02,1,0,0
2017-02-03,9,0,0
2017-02-04,0,0,0
2017-02-05,3,0,0
2017-02-06,0,0,1
2017-02-07,5,4,0
2017-02-08,5,0,0
2017-02-09,2,0,0
2017-02-10,3,0,0
2017-02-11,3,0,0
2017-02-12,0,0,0
2017-02-13,4,0,0
2017-02-14,0,0,0
2017-02-15,7,1,0
2017-02-16,11,0,0
2017-02-17,12,1,0
2017-02-18,0,0,0
2017-02-19,5,3,0
2017-02-20,16,0,0
2017-02-21,3,0,0
2017-02-22,0,0,0
2017-02-23,7,0,0
2017-02-24,1,0,0
2017-02-25,1,0,0
2017-02-26,0,0,0
2017-02-27,4,0,0
2017-02-28,0,0,0
2017-03-01,7,0,0
2017-03-02,5,0,0
2017-03-03,4,1,0
2017-03-04,0,1,0
2017-03-05,10,0,0
2017-03-06,4,1,0
2017-03-07,3,1,0
2017-03-08,3,0,0
2017-03-09,6,0,0
2017-03-10,1,0,0
2017-03-11,0,0,0
2017-03-12,8,0,0
2017-03-13,2,2,0
2017-03-14,12,3,0
2017-03-15,0,7,0
2017-03-16,3,0,0
2017-03-17,4,0,0
2017-03-18,0,0,0
2017-03-19,3,0,0
2017-03-20,0,1,0
2017-03-21,0,0,0
2017-03-22,0,4,0
2017-03-23,1,3,0
2017-03-24,0,2,0
2017-03-25,0,0,1
2017-03-26,1,3,0
2017-03-27,0,3,0
2017-03-28,3,10,0
2017-03-29,0,5,0
2017-03-30,5,1,1
2017-03-31,2,2,0
2017-04-01,3,1,0
2017-04-02,0,7,0
2017-04-03,11,5,0
2017-04-04,8,30,0
2017-04-05,0,3,0
2017-04-06,0,3,0
2017-04-07,4,2,0
2017-04-08,0,2,0
2017-04-09,0,0,0
2017-04-10,0,3,0
2017-04-11,2,15,0
2017-04-12,5,12,0
2017-04-13,2,7,0
2017-04-14,6,1,0
2017-04-15,3,0,0
2017-04-16,0,1,0
2017-04-17,2,1,0
2017-04-18,0,10,0
2017-04-19,0,3,0
2017-04-20,1,0,0
2017-04-21,3,5,0
2017-04-22,0,2,0
2017-04-23,3,22,0
2017-04-24,2,10,0
2017-04-25,2,8,1
2017-04-26,2,7,0
2017-04-27,0,6,0
2017-04-28,0,3,0
2017-04-29,1,2,0
2017-04-30,0,0,0
2017-05-01,2,0,0
2017-05-02,0,3,0
2017-05-03,4,5,0
2017-05-04,0,3,0
2017-05-05,2,0,0
2017-05-06,4,2,0
2017-05-07,2,2,0
2017-05-08,1,1,0
2017-05-09,8,2,0
2017-05-10,6,20,0
2017-05-11,7,2,0
2017-05-12,4,0,0
2017-05-13,1,0,0
2017-05-14,0,0,0
2017-05-15,5,1,0
2017-05-16,1,1,0
2017-05-17,1,3,0
2017-05-18,5,0,0
2017-05-19,0,0,0
2017-05-20,2,0,0
2017-05-21,8,0,0
2017-05-22,4,3,0
2017-05-23,0,1,0
2017-05-24,0,0,0
2017-05-25,3,0,0
2017-05-26,9,0,0
2017-05-27,0,0,0
2017-05-28,8,0,0
2017-05-29,0,1,0
2017-05-30,2,3,0
2017-05-31,1,1,0
2017-06-01,6,0,0
2017-06-02,2,0,0
2017-06-03,11,0,0
2017-06-04,0,0,0
2017-06-05,4,0,0
2017-06-06,1,0,0
2017-06-07,7,0,0
2017-06-08,1,0,0
2017-06-09,10,0,0
2017-06-10,0,4,0
2017-06-11,6,0,0
2017-06-12,6,1,0
2017-06-13,10,0,0
2017-06-14,8,0,0
2017-06-15,2,0,0
2017-06-16,6,0,0
2017-06-17,0,0,0
2017-06-18,9,0,0
2017-06-19,5,0,0
2017-06-20,7,0,0
2017-06-21,3,0,0
2017-06-22,6,0,0
2017-06-23,0,0,0
2017-06-24,8,0,0
2017-06-25,3,0,0
2017-06-26,6,2,0
2017-06-27,10,0,0
2017-06-28,4,0,0
2017-06-29,7,0,0
2017-06-30,5,7,0
2017-07-01,3,1,0
2017-07-02,1,3,0
2017-07-03,3,4,0
2017-07-04,1,0,0
2017-07-05,2,0,0
2017-07-06,3,1,1
2017-07-07,4,2,0
2017-07-08,0,0,0
2017-07-09,15,0,0
2017-07-10,4,0,0
