,typesense/typesense,meilisearch/meilisearch,elastic/elasticsearch
2022-10-30,1,4.0,0
2022-10-31,3,7.0,18
2022-11-01,1,0.0,25
2022-11-02,1,1.0,20
2022-11-03,1,5.0,25
2022-11-04,0,2.0,23
2022-11-05,0,0.0,3
2022-11-06,1,0.0,0
2022-11-07,0,0.0,19
2022-11-08,1,10.0,31
2022-11-09,2,1.0,28
2022-11-10,0,4.0,35
2022-11-11,1,0.0,9
2022-11-12,0,2.0,0
2022-11-13,0,2.0,0
2022-11-14,1,3.0,24
2022-11-15,2,4.0,29
2022-11-16,1,1.0,26
2022-11-17,2,8.0,22
2022-11-18,1,0.0,27
2022-11-19,1,0.0,3
2022-11-20,0,0.0,1
2022-11-21,0,1.0,21
2022-11-22,0,0.0,28
2022-11-23,1,3.0,24
2022-11-24,2,6.0,30
2022-11-25,1,0.0,1
2022-11-26,0,3.0,0
2022-11-27,0,0.0,1
2022-11-28,0,11.0,17
2022-11-29,0,2.0,14
2022-11-30,2,7.0,13
2022-12-01,1,14.0,9
2022-12-02,0,0.0,11
2022-12-03,2,8.0,0
2022-12-04,0,3.0,0
2022-12-05,0,11.0,20
2022-12-06,1,11.0,24
2022-12-07,2,18.0,28
2022-12-08,2,13.0,19
2022-12-09,1,2.0,3
2022-12-10,1,1.0,0
2022-12-11,0,4.0,3
2022-12-12,0,7.0,31
2022-12-13,2,13.0,18
2022-12-14,2,8.0,25
2022-12-15,5,3.0,15
2022-12-16,0,3.0,15
2022-12-17,0,0.0,2
2022-12-18,1,0.0,1
2022-12-19,2,14.0,12
2022-12-20,4,7.0,18
2022-12-21,3,13.0,27
2022-12-22,1,17.0,28
2022-12-23,2,0.0,12
2022-12-24,0,0.0,1
2022-12-25,1,1.0,0
2022-12-26,0,3.0,6
2022-12-27,0,0.0,9
2022-12-28,1,0.0,7
2022-12-29,1,0.0,3
2022-12-30,0,0.0,7
2022-12-31,0,0.0,1
2023-01-01,1,0.0,0
2023-01-02,2,5.0,0
2023-01-03,7,3.0,18
2023-01-04,1,9.0,24
2023-01-05,4,14.0,17
2023-01-06,3,1.0,3
2023-01-07,1,0.0,0
2023-01-08,0,0.0,0
2023-01-09,8,8.0,29
2023-01-10,4,6.0,24
2023-01-11,4,13.0,30
2023-01-12,0,9.0,23
2023-01-13,1,1.0,34
2023-01-14,0,0.0,3
2023-01-15,1,0.0,0
2023-01-16,2,10.0,24
2023-01-17,5,16.0,30
2023-01-18,3,16.0,24
2023-01-19,5,18.0,32
2023-01-20,1,0.0,4
2023-01-21,4,0.0,3
2023-01-22,1,0.0,1
2023-01-23,0,12.0,39
2023-01-24,1,8.0,43
2023-01-25,3,18.0,31
2023-01-26,4,4.0,30
2023-01-27,4,0.0,35
2023-01-28,1,0.0,1
2023-01-29,0,0.0,0
2023-01-30,5,5.0,33
2023-01-31,2,26.0,26
2023-02-01,0,9.0,30
2023-02-02,3,15.0,40
2023-02-03,3,0.0,3
2023-02-04,5,0.0,3
2023-02-05,3,0.0,0
2023-02-06,3,9.0,37
2023-02-07,2,0.0,47
2023-02-08,0,9.0,25
2023-02-09,5,5.0,27
2023-02-10,3,2.0,26
2023-02-11,0,0.0,5
2023-02-12,2,0.0,1
2023-02-13,1,13.0,25
2023-02-14,2,14.0,28
2023-02-15,2,2.0,13
2023-02-16,33,13.0,19
2023-02-17,3,1.0,6
2023-02-18,2,0.0,1
2023-02-19,0,0.0,0
2023-02-20,4,19.0,21
2023-02-21,4,8.0,26
2023-02-22,3,16.0,25
2023-02-23,0,21.0,27
2023-02-24,1,0.0,14
2023-02-25,0,0.0,1
2023-02-26,3,0.0,0
2023-02-27,4,2.0,18
2023-02-28,1,1.0,24
2023-03-01,2,1.0,27
2023-03-02,3,0.0,26
2023-03-03,9,3.0,3
2023-03-04,0,0.0,2
2023-03-05,3,0.0,0
2023-03-06,3,9.0,26
2023-03-07,2,4.0,23
2023-03-08,0,10.0,35
2023-03-09,0,15.0,17
2023-03-10,54,0.0,32
2023-03-11,2,0.0,3
2023-03-12,0,0.0,0
2023-03-13,2,3.0,3
2023-03-14,3,2.0,7
2023-03-15,2,6.0,5
2023-03-16,8,1.0,6
2023-03-17,0,0.0,1
2023-03-18,4,0.0,3
2023-03-19,4,0.0,0
2023-03-20,2,75.0,22
2023-03-21,0,3.0,32
2023-03-22,3,2.0,28
2023-03-23,3,8.0,20
2023-03-24,0,0.0,22
2023-03-25,1,0.0,1
2023-03-26,0,1.0,2
2023-03-27,0,8.0,41
2023-03-28,1,6.0,36
2023-03-29,1,11.0,29
2023-03-30,0,25.0,34
2023-03-31,2,1.0,34
2023-04-01,1,0.0,0
2023-04-02,4,0.0,0
2023-04-03,2,16.0,12
2023-04-04,0,12.0,23
2023-04-05,6,12.0,34
2023-04-06,1,25.0,20
2023-04-07,2,6.0,6
2023-04-08,0,0.0,0
2023-04-09,0,0.0,2
2023-04-10,4,0.0,16
2023-04-11,3,1.0,39
2023-04-12,1,16.0,25
2023-04-13,2,16.0,24
2023-04-14,0,0.0,5
2023-04-15,0,0.0,1
2023-04-16,0,0.0,0
2023-04-17,2,0.0,48
2023-04-18,3,4.0,40
2023-04-19,2,0.0,22
2023-04-20,1,0.0,43
2023-04-21,1,0.0,35
