,sveltejs/svelte,facebook/react,vuejs/core
2023-05-19,4,1,2
2023-05-20,1,2,0
2023-05-21,1,0,0
2023-05-22,4,3,0
2023-05-23,7,5,0
2023-05-24,2,4,0
2023-05-25,9,10,0
2023-05-26,10,4,1
2023-05-27,4,0,0
2023-05-28,0,0,0
2023-05-29,1,0,0
2023-05-30,7,2,0
2023-05-31,0,13,0
2023-06-01,6,6,0
2023-06-02,0,5,0
2023-06-03,0,2,0
2023-06-04,2,3,0
2023-06-05,1,13,0
2023-06-06,0,7,0
2023-06-07,2,3,0
2023-06-08,5,10,0
2023-06-09,2,1,0
2023-06-10,1,1,8
2023-06-11,0,0,1
2023-06-12,2,1,1
2023-06-13,1,5,0
2023-06-14,8,4,3
2023-06-15,2,13,3
2023-06-16,9,13,0
2023-06-17,2,0,0
2023-06-18,2,0,0
2023-06-19,8,0,0
2023-06-20,10,13,0
2023-06-21,10,3,0
2023-06-22,25,10,0
2023-06-23,7,6,2
2023-06-24,3,0,1
2023-06-25,2,0,0
2023-06-26,5,1,0
2023-06-27,4,7,0
2023-06-28,6,5,1
2023-06-29,5,2,0
2023-06-30,4,3,0
2023-07-01,0,0,0
2023-07-02,2,1,0
2023-07-03,9,5,1
2023-07-04,2,1,0
2023-07-05,4,5,0
2023-07-06,7,21,0
2023-07-07,2,1,0
2023-07-08,0,7,0
2023-07-09,2,0,7
2023-07-10,10,0,8
2023-07-11,3,6,13
2023-07-12,0,5,4
2023-07-13,2,8,0
2023-07-14,1,10,0
2023-07-15,0,0,0
2023-07-16,1,0,0
2023-07-17,2,2,0
2023-07-18,5,1,0
2023-07-19,3,1,1
2023-07-20,1,1,0
2023-07-21,2,2,0
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,2,1,0
2023-07-25,0,10,0
2023-07-26,2,3,0
2023-07-27,1,7,0
2023-07-28,2,4,0
2023-07-29,0,0,0
2023-07-30,0,0,0
2023-07-31,1,0,0
2023-08-01,0,4,0
2023-08-02,0,4,0
2023-08-03,1,2,0
2023-08-04,3,7,0
2023-08-05,0,0,0
2023-08-06,0,0,0
2023-08-07,1,7,0
2023-08-08,0,1,0
2023-08-09,0,4,0
2023-08-10,0,14,0
2023-08-11,2,9,1
2023-08-12,1,1,0
2023-08-13,1,0,0
2023-08-14,1,14,1
2023-08-15,1,6,0
2023-08-16,0,16,0
2023-08-17,0,14,0
2023-08-18,1,6,0
2023-08-19,0,0,0
2023-08-20,2,0,0
2023-08-21,1,4,3
2023-08-22,4,11,2
2023-08-23,1,6,0
2023-08-24,2,2,0
2023-08-25,1,2,0
2023-08-26,1,2,0
2023-08-27,0,0,0
2023-08-28,2,2,0
2023-08-29,0,14,0
2023-08-30,1,7,1
2023-08-31,2,5,0
2023-09-01,0,3,0
2023-09-02,0,0,0
2023-09-03,0,0,0
2023-09-04,1,0,0
2023-09-05,0,13,5
2023-09-06,0,3,2
2023-09-07,0,14,0
2023-09-08,0,4,0
2023-09-09,0,0,0
2023-09-10,0,0,0
2023-09-11,0,9,0
2023-09-12,0,3,0
2023-09-13,1,5,0
2023-09-14,0,12,0
2023-09-15,4,13,0
2023-09-16,2,0,0
2023-09-17,0,0,0
2023-09-18,1,7,0
2023-09-19,1,1,1
2023-09-20,10,5,0
2023-09-21,1,6,1
2023-09-22,0,5,1
2023-09-23,0,2,0
2023-09-24,0,0,0
2023-09-25,1,4,0
2023-09-26,0,1,0
2023-09-27,0,10,0
2023-09-28,0,4,0
2023-09-29,0,3,0
2023-09-30,0,0,0
2023-10-01,1,0,0
2023-10-02,0,9,0
2023-10-03,1,12,0
2023-10-04,2,13,0
2023-10-05,1,10,0
2023-10-06,1,3,0
2023-10-07,0,0,0
2023-10-08,0,0,0
2023-10-09,0,9,0
2023-10-10,0,7,0
2023-10-11,0,3,0
2023-10-12,0,6,0
2023-10-13,0,2,0
2023-10-14,0,0,0
2023-10-15,0,1,0
2023-10-16,0,5,0
2023-10-17,0,5,1
2023-10-18,1,4,0
2023-10-19,8,4,1
2023-10-20,1,4,23
2023-10-21,0,3,8
2023-10-22,0,0,1
2023-10-23,1,6,1
2023-10-24,0,2,4
2023-10-25,0,6,0
2023-10-26,0,1,3
2023-10-27,0,4,5
2023-10-28,0,0,2
2023-10-29,0,0,0
2023-10-30,1,8,2
2023-10-31,2,11,1
2023-11-01,0,7,0
2023-11-02,0,18,2
2023-11-03,0,6,2
2023-11-04,0,0,0
2023-11-05,0,0,0
2023-11-06,1,6,6
2023-11-07,1,13,1
2023-11-08,1,19,0
2023-11-09,0,15,8
2023-11-10,12,15,27
2023-11-11,1,3,0
2023-11-12,2,2,1
2023-11-13,12,6,2
2023-11-14,9,12,0
2023-11-15,16,7,2
2023-11-16,4,10,0
2023-11-17,6,4,1
2023-11-18,4,0,0
2023-11-19,1,0,0
2023-11-20,6,0,0
2023-11-21,8,3,5
2023-11-22,10,1,1
2023-11-23,10,2,0
2023-11-24,6,0,0
2023-11-25,1,0,63
2023-11-26,0,0,0
2023-11-27,11,3,11
2023-11-28,4,8,4
2023-11-29,2,6,3
2023-11-30,11,3,20
2023-12-01,1,5,8
2023-12-02,0,0,0
2023-12-03,0,0,1
2023-12-04,8,9,10
2023-12-05,12,5,4
2023-12-06,15,6,2
2023-12-07,15,3,7
2023-12-08,3,6,18
2023-12-09,0,0,0
2023-12-10,1,0,0
2023-12-11,2,12,12
2023-12-12,5,6,15
2023-12-13,4,2,3
2023-12-14,4,4,4
2023-12-15,1,10,4
2023-12-16,0,7,8
2023-12-17,0,1,0
2023-12-18,0,2,0
2023-12-19,0,2,10
2023-12-20,0,8,1
2023-12-21,0,0,0
2023-12-22,0,0,5
2023-12-23,0,0,0
2023-12-24,0,0,1
2023-12-25,0,0,1
2023-12-26,0,0,17
2023-12-27,11,0,3
2023-12-28,0,0,1
2023-12-29,0,0,5
2023-12-30,0,0,16
2023-12-31,0,0,1
2024-01-01,2,0,0
2024-01-02,10,3,2
2024-01-03,4,1,9
2024-01-04,3,0,8
2024-01-05,2,0,0
2024-01-06,0,0,1
2024-01-07,0,0,0
2024-01-08,7,1,12
2024-01-09,14,4,8
2024-01-10,3,4,5
2024-01-11,11,4,11
2024-01-12,3,9,5
2024-01-13,2,0,5
2024-01-14,0,1,1
2024-01-15,3,4,3
2024-01-16,4,3,0
2024-01-17,4,3,0
2024-01-18,2,7,12
2024-01-19,6,12,0
2024-01-20,2,2,0
2024-01-21,0,0,0
2024-01-22,3,6,0
2024-01-23,4,10,0
2024-01-24,4,6,0
2024-01-25,4,14,0
2024-01-26,4,21,0
2024-01-27,0,4,0
2024-01-28,0,1,0
2024-01-29,5,13,1
2024-01-30,5,10,0
2024-01-31,12,6,0
2024-02-01,2,23,0
2024-02-02,0,22,0
2024-02-03,0,1,0
2024-02-04,1,4,0
2024-02-05,10,20,6
2024-02-06,6,25,5
2024-02-07,2,8,4
2024-02-08,4,9,3
2024-02-09,4,15,6
2024-02-10,0,1,0
2024-02-11,0,2,0
2024-02-12,2,5,0
2024-02-13,5,9,11
2024-02-14,4,16,0
2024-02-15,4,7,0
2024-02-16,4,11,0
2024-02-17,7,3,0
2024-02-18,5,3,0
2024-02-19,9,6,0
2024-02-20,15,19,2
2024-02-21,5,9,0
2024-02-22,7,10,0
2024-02-23,7,8,0
2024-02-24,0,3,0
2024-02-25,0,1,17
2024-02-26,4,8,13
2024-02-27,2,11,0
2024-02-28,5,4,5
2024-02-29,3,7,0
2024-03-01,1,5,0
2024-03-02,1,0,0
2024-03-03,0,2,0
2024-03-04,2,2,0
2024-03-05,12,7,1
2024-03-06,3,17,3
2024-03-07,4,6,2
2024-03-08,4,7,0
2024-03-09,0,1,0
2024-03-10,4,0,0
2024-03-11,8,12,0
2024-03-12,11,5,1
2024-03-13,8,10,3
2024-03-14,2,11,0
2024-03-15,2,4,1
2024-03-16,1,1,1
2024-03-17,0,0,0
2024-03-18,2,12,0
2024-03-19,4,12,2
2024-03-20,2,9,0
2024-03-21,7,11,1
2024-03-22,13,25,0
2024-03-23,6,1,0
2024-03-24,4,1,0
2024-03-25,11,10,1
2024-03-26,12,21,0
2024-03-27,3,12,0
2024-03-28,9,22,1
2024-03-29,6,13,0
2024-03-30,4,3,0
2024-03-31,2,0,0
2024-04-01,4,13,2
2024-04-02,10,28,1
2024-04-03,7,20,0
2024-04-04,0,6,0
2024-04-05,2,6,0
2024-04-06,3,1,0
2024-04-07,0,0,0
2024-04-08,4,20,0
2024-04-09,6,15,1
2024-04-10,8,26,0
2024-04-11,5,9,0
2024-04-12,7,7,3
2024-04-13,2,0,0
2024-04-14,6,0,3
2024-04-15,2,7,24
2024-04-16,9,8,4
2024-04-17,8,7,2
2024-04-18,8,20,4
2024-04-19,10,10,1
2024-04-20,2,5,0
2024-04-21,0,3,0
2024-04-22,9,6,12
2024-04-23,3,18,0
2024-04-24,10,9,6
2024-04-25,4,12,4
2024-04-26,1,4,1
2024-04-27,3,2,1
2024-04-28,1,0,0
2024-04-29,13,3,18
2024-04-30,2,3,2
2024-05-01,2,8,1
2024-05-02,6,8,0
2024-05-03,5,15,5
2024-05-04,0,0,1
2024-05-05,1,0,0
2024-05-06,4,8,5
2024-05-07,4,15,0
2024-05-08,5,10,1
2024-05-09,2,5,0
2024-05-10,10,4,0
2024-05-11,5,9,0
2024-05-12,3,0,0
2024-05-13,11,4,0
2024-05-14,11,7,0
2024-05-15,11,14,1
2024-05-16,13,10,0
2024-05-17,1,18,0
2024-05-18,0,1,0
2024-05-19,0,2,0
2024-05-20,7,9,5
2024-05-21,7,9,2
2024-05-22,7,3,0
2024-05-23,19,9,0
2024-05-24,6,3,2
2024-05-25,0,2,0
2024-05-26,0,1,0
2024-05-27,6,0,14
2024-05-28,6,10,2
2024-05-29,8,16,1
2024-05-30,4,7,14
2024-05-31,10,15,7
2024-06-01,0,0,0
2024-06-02,3,0,0
2024-06-03,4,12,0
2024-06-04,8,4,8
2024-06-05,5,5,4
2024-06-06,13,9,4
2024-06-07,3,8,5
2024-06-08,9,2,0
2024-06-09,2,0,0
2024-06-10,5,15,10
2024-06-11,2,15,1
2024-06-12,4,8,0
2024-06-13,5,4,0
2024-06-14,2,10,20
2024-06-15,0,1,0
2024-06-16,0,0,0
2024-06-17,12,6,2
2024-06-18,6,2,1
2024-06-19,6,2,0
2024-06-20,8,6,0
2024-06-21,5,15,0
2024-06-22,0,6,14
2024-06-23,2,0,3
2024-06-24,9,4,3
2024-06-25,7,13,0
2024-06-26,4,10,1
2024-06-27,5,5,0
2024-06-28,3,5,6
2024-06-29,6,0,1
2024-06-30,1,1,0
2024-07-01,6,10,0
2024-07-02,8,4,0
2024-07-03,8,4,0
2024-07-04,7,4,0
2024-07-05,3,0,1
2024-07-06,0,1,0
2024-07-07,2,0,0
2024-07-08,14,6,2
2024-07-09,11,5,0
2024-07-10,10,9,0
2024-07-11,7,9,5
2024-07-12,6,11,3
2024-07-13,0,3,6
2024-07-14,2,0,0
2024-07-15,7,7,8
2024-07-16,8,15,6
2024-07-17,8,6,12
2024-07-18,5,16,2
2024-07-19,3,1,11
2024-07-20,1,1,0
2024-07-21,3,0,0
2024-07-22,9,9,0
2024-07-23,6,9,0
2024-07-24,17,13,9
2024-07-25,12,21,1
2024-07-26,6,10,0
2024-07-27,4,0,0
2024-07-28,3,0,0
2024-07-29,7,27,7
2024-07-30,3,18,0
2024-07-31,5,5,6
2024-08-01,7,4,1
2024-08-02,6,11,7
2024-08-03,1,1,5
2024-08-04,1,0,1
2024-08-05,4,3,14
2024-08-06,3,13,22
2024-08-07,0,2,22
2024-08-08,2,10,20
2024-08-09,0,8,2
2024-08-10,11,0,2
2024-08-11,4,0,5
2024-08-12,12,8,7
2024-08-13,2,6,6
2024-08-14,5,10,2
2024-08-15,13,8,9
2024-08-16,5,13,8
2024-08-17,8,2,0
2024-08-18,4,1,0
2024-08-19,3,5,7
2024-08-20,12,7,6
2024-08-21,9,6,0
2024-08-22,7,14,0
2024-08-23,5,6,0
2024-08-24,7,0,0
2024-08-25,1,0,0
2024-08-26,5,2,1
2024-08-27,5,8,0
2024-08-28,3,9,7
2024-08-29,2,7,7
2024-08-30,2,5,0
2024-08-31,0,0,0
2024-09-01,3,0,0
2024-09-02,1,0,7
2024-09-03,4,4,9
2024-09-04,3,5,7
2024-09-05,3,3,15
2024-09-06,3,6,8
2024-09-07,0,4,2
2024-09-08,0,1,0
2024-09-09,1,9,0
2024-09-10,5,8,10
2024-09-11,3,3,0
2024-09-12,8,8,0
2024-09-13,9,6,13
2024-09-14,1,3,1
2024-09-15,1,0,0
2024-09-16,12,12,11
2024-09-17,11,5,0
2024-09-18,6,10,1
2024-09-19,10,7,0
2024-09-20,6,2,13
2024-09-21,1,0,0
2024-09-22,0,0,3
2024-09-23,3,5,1
2024-09-24,4,3,3
2024-09-25,1,5,0
2024-09-26,4,14,7
2024-09-27,4,1,6
2024-09-28,1,0,2
2024-09-29,3,0,0
2024-09-30,1,9,0
2024-10-01,0,6,0
2024-10-02,0,2,0
2024-10-03,10,2,6
2024-10-04,4,0,1
2024-10-05,1,0,0
2024-10-06,0,0,0
2024-10-07,5,10,0
2024-10-08,4,1,0
2024-10-09,7,8,0
2024-10-10,3,15,0
2024-10-11,3,2,23
2024-10-12,2,1,0
2024-10-13,0,1,0
2024-10-14,6,5,5
2024-10-15,6,5,0
2024-10-16,8,4,0
2024-10-17,8,4,1
2024-10-18,10,11,0
