,getgrav/grav,WordPress/WordPress,tryghost/ghost
2018-11-29,9,0,2
2018-11-30,9,0,0
2018-12-01,2,0,0
2018-12-02,0,0,0
2018-12-03,13,0,8
2018-12-04,2,0,13
2018-12-05,3,0,5
2018-12-06,0,0,2
2018-12-07,3,0,3
2018-12-08,0,0,0
2018-12-09,0,0,1
2018-12-10,2,0,9
2018-12-11,4,7,18
2018-12-12,9,8,1
2018-12-13,9,22,7
2018-12-14,6,56,7
2018-12-15,0,3,0
2018-12-16,0,5,0
2018-12-17,0,57,12
2018-12-18,0,9,0
2018-12-19,5,41,0
2018-12-20,2,14,4
2018-12-21,1,1,0
2018-12-22,0,0,0
2018-12-23,0,0,0
2018-12-24,0,3,0
2018-12-25,0,1,0
2018-12-26,0,0,0
2018-12-27,0,0,0
2018-12-28,0,10,0
2018-12-29,0,1,0
2018-12-30,0,2,0
2018-12-31,0,2,0
2019-01-01,0,2,5
2019-01-02,0,3,4
2019-01-03,0,4,5
2019-01-04,0,6,15
2019-01-05,0,3,2
2019-01-06,0,3,0
2019-01-07,0,19,6
2019-01-08,6,39,11
2019-01-09,3,39,4
2019-01-10,2,29,2
2019-01-11,2,12,2
2019-01-12,0,7,0
2019-01-13,1,0,0
2019-01-14,4,12,10
2019-01-15,10,20,18
2019-01-16,8,22,4
2019-01-17,4,13,4
2019-01-18,4,10,15
2019-01-19,0,3,0
2019-01-20,0,2,0
2019-01-21,1,29,27
2019-01-22,2,5,26
2019-01-23,9,3,5
2019-01-24,2,3,7
2019-01-25,11,0,2
2019-01-26,0,2,0
2019-01-27,0,1,1
2019-01-28,1,9,18
2019-01-29,5,5,19
2019-01-30,8,5,8
2019-01-31,14,2,19
2019-02-01,7,1,2
2019-02-02,1,0,0
2019-02-03,0,1,2
2019-02-04,4,0,4
2019-02-05,6,1,7
2019-02-06,0,1,14
2019-02-07,10,6,23
2019-02-08,8,7,4
2019-02-09,0,0,0
2019-02-10,0,0,0
2019-02-11,3,0,21
2019-02-12,4,1,8
2019-02-13,4,1,12
2019-02-14,9,4,8
2019-02-15,6,0,12
2019-02-16,0,0,0
2019-02-17,1,1,0
2019-02-18,7,1,4
2019-02-19,4,2,0
2019-02-20,0,4,0
2019-02-21,0,2,9
2019-02-22,0,0,20
2019-02-23,0,1,21
2019-02-24,0,0,8
2019-02-25,6,1,29
2019-02-26,8,1,34
2019-02-27,3,0,7
2019-02-28,7,13,0
2019-03-01,8,1,0
2019-03-02,0,0,0
2019-03-03,0,0,0
2019-03-04,4,7,13
2019-03-05,6,5,16
2019-03-06,3,1,15
2019-03-07,2,12,16
2019-03-08,2,4,1
2019-03-09,0,1,1
2019-03-10,0,0,2
2019-03-11,5,5,40
2019-03-12,7,4,25
2019-03-13,19,2,23
2019-03-14,12,4,10
2019-03-15,1,17,7
2019-03-16,2,2,0
2019-03-17,0,5,6
2019-03-18,2,4,8
2019-03-19,6,7,9
2019-03-20,21,15,0
2019-03-21,5,26,9
2019-03-22,2,6,7
2019-03-23,0,3,0
2019-03-24,0,0,0
2019-03-25,3,2,19
2019-03-26,6,7,6
2019-03-27,1,28,5
2019-03-28,1,17,0
2019-03-29,5,7,0
2019-03-30,0,5,0
2019-03-31,0,0,0
2019-04-01,3,17,4
2019-04-02,3,10,12
2019-04-03,1,4,4
2019-04-04,2,3,12
2019-04-05,4,6,4
2019-04-06,0,8,1
2019-04-07,0,7,0
2019-04-08,2,15,9
2019-04-09,3,8,8
2019-04-10,7,3,0
2019-04-11,29,5,2
2019-04-12,8,22,0
2019-04-13,8,11,2
2019-04-14,1,2,0
2019-04-15,6,9,10
2019-04-16,7,13,78
2019-04-17,11,18,28
2019-04-18,3,10,16
2019-04-19,2,6,1
2019-04-20,5,0,1
2019-04-21,0,0,1
2019-04-22,5,1,16
2019-04-23,9,5,13
2019-04-24,3,6,10
2019-04-25,4,3,4
2019-04-26,3,4,0
2019-04-27,0,0,0
2019-04-28,0,0,0
2019-04-29,1,0,10
2019-04-30,3,1,11
2019-05-01,0,1,13
2019-05-02,7,6,6
2019-05-03,4,2,2
2019-05-04,0,1,3
2019-05-05,0,0,0
2019-05-06,1,0,16
2019-05-07,5,3,106
2019-05-08,2,0,5
2019-05-09,6,6,0
2019-05-10,2,1,0
2019-05-11,0,0,0
2019-05-12,1,0,0
2019-05-13,0,0,14
2019-05-14,3,4,4
2019-05-15,2,6,1
2019-05-16,1,7,0
2019-05-17,4,14,0
2019-05-18,2,1,0
2019-05-19,0,0,0
2019-05-20,1,2,8
2019-05-21,0,1,3
2019-05-22,1,4,2
2019-05-23,5,13,5
2019-05-24,1,15,1
2019-05-25,0,17,0
2019-05-26,13,29,0
2019-05-27,10,2,12
2019-05-28,1,4,5
2019-05-29,10,5,0
2019-05-30,3,20,0
2019-05-31,4,3,0
2019-06-01,0,1,0
2019-06-02,3,0,0
2019-06-03,12,0,9
2019-06-04,6,2,5
2019-06-05,2,4,2
2019-06-06,1,2,4
2019-06-07,0,3,1
2019-06-08,0,6,0
2019-06-09,0,1,1
2019-06-10,0,3,8
2019-06-11,1,0,6
2019-06-12,0,4,0
2019-06-13,1,6,1
2019-06-14,14,2,0
2019-06-15,0,5,0
2019-06-16,0,1,0
2019-06-17,0,2,9
2019-06-18,0,1,12
2019-06-19,6,0,7
2019-06-20,9,7,6
2019-06-21,12,0,9
2019-06-22,0,4,0
2019-06-23,0,0,0
2019-06-24,8,0,15
2019-06-25,2,3,14
2019-06-26,8,2,6
2019-06-27,12,5,1
2019-06-28,10,3,0
2019-06-29,2,1,0
2019-06-30,0,0,0
2019-07-01,6,8,16
2019-07-02,9,6,37
2019-07-03,0,1,1
2019-07-04,2,7,6
2019-07-05,0,6,5
2019-07-06,0,0,0
2019-07-07,0,2,0
2019-07-08,1,2,7
2019-07-09,3,9,13
2019-07-10,3,0,0
2019-07-11,5,7,5
2019-07-12,5,7,3
2019-07-13,0,0,0
2019-07-14,0,3,0
2019-07-15,0,7,27
2019-07-16,6,8,5
2019-07-17,0,7,14
2019-07-18,3,3,4
2019-07-19,2,6,1
2019-07-20,0,0,0
2019-07-21,0,0,0
2019-07-22,0,0,26
2019-07-23,0,0,6
2019-07-24,0,0,4
2019-07-25,2,12,18
2019-07-26,2,6,0
2019-07-27,0,6,0
2019-07-28,0,9,0
2019-07-29,0,0,14
2019-07-30,4,2,15
2019-07-31,0,5,2
2019-08-01,0,11,9
2019-08-02,0,5,1
2019-08-03,0,9,0
2019-08-04,0,13,0
2019-08-05,0,12,10
2019-08-06,0,0,8
2019-08-07,0,10,5
2019-08-08,0,5,3
2019-08-09,6,6,35
2019-08-10,2,1,0
2019-08-11,0,3,0
2019-08-12,9,4,19
2019-08-13,2,6,9
2019-08-14,16,8,7
2019-08-15,4,16,2
2019-08-16,8,6,5
2019-08-17,0,3,0
2019-08-18,8,2,0
2019-08-19,7,8,13
2019-08-20,6,8,5
2019-08-21,9,3,2
2019-08-22,5,6,4
2019-08-23,2,7,1
2019-08-24,3,1,0
2019-08-25,0,3,0
2019-08-26,5,5,11
2019-08-27,2,3,17
2019-08-28,3,5,9
2019-08-29,4,9,2
2019-08-30,3,6,0
2019-08-31,0,3,0
2019-09-01,1,3,0
2019-09-02,0,5,14
2019-09-03,8,2,9
2019-09-04,0,12,1
2019-09-05,3,5,10
2019-09-06,4,4,14
2019-09-07,0,5,0
2019-09-08,0,4,0
2019-09-09,2,1,27
2019-09-10,1,4,16
2019-09-11,1,3,11
2019-09-12,4,8,11
2019-09-13,5,5,4
2019-09-14,1,13,0
2019-09-15,0,28,3
2019-09-16,3,7,34
2019-09-17,10,9,12
2019-09-18,1,10,6
2019-09-19,7,22,3
2019-09-20,3,28,2
2019-09-21,0,10,0
2019-09-22,0,4,1
2019-09-23,0,49,18
2019-09-24,0,3,4
2019-09-25,2,12,26
2019-09-26,8,21,21
2019-09-27,2,2,0
2019-09-28,0,4,0
2019-09-29,0,7,0
2019-09-30,0,19,23
2019-10-01,4,7,19
2019-10-02,0,1,36
2019-10-03,10,9,16
2019-10-04,0,10,9
2019-10-05,0,14,4
2019-10-06,0,7,14
2019-10-07,2,12,14
2019-10-08,2,22,14
2019-10-09,5,5,49
2019-10-10,7,3,31
2019-10-11,5,4,41
2019-10-12,0,6,3
2019-10-13,2,3,1
2019-10-14,3,12,23
2019-10-15,5,16,7
2019-10-16,12,2,16
2019-10-17,5,1,13
2019-10-18,0,0,7
2019-10-19,0,0,6
2019-10-20,0,0,13
2019-10-21,0,6,27
2019-10-22,2,7,0
2019-10-23,2,1,1
2019-10-24,7,0,4
2019-10-25,1,11,0
2019-10-26,0,11,0
2019-10-27,0,5,0
2019-10-28,3,6,26
2019-10-29,3,3,13
2019-10-30,0,2,9
2019-10-31,4,3,8
2019-11-01,0,2,2
2019-11-02,0,7,0
2019-11-03,0,13,0
2019-11-04,0,6,39
2019-11-05,0,13,38
2019-11-06,6,1,72
2019-11-07,7,3,43
2019-11-08,2,2,30
2019-11-09,0,9,0
2019-11-10,1,5,0
2019-11-11,0,12,23
2019-11-12,1,7,0
2019-11-13,13,1,22
2019-11-14,4,2,15
2019-11-15,10,3,12
2019-11-16,0,3,4
2019-11-17,0,4,0
2019-11-18,10,6,27
2019-11-19,1,2,1
2019-11-20,2,4,4
2019-11-21,6,3,2
2019-11-22,4,3,10
2019-11-23,0,4,1
2019-11-24,0,2,0
2019-11-25,0,3,12
2019-11-26,0,3,11
2019-11-27,5,4,19
2019-11-28,1,3,2
2019-11-29,0,8,0
2019-11-30,0,1,0
2019-12-01,0,2,0
2019-12-02,13,1,2
2019-12-03,11,1,12
2019-12-04,18,2,14
2019-12-05,0,3,1
2019-12-06,2,5,2
2019-12-07,0,4,0
2019-12-08,1,1,0
2019-12-09,3,22,7
2019-12-10,6,4,1
2019-12-11,0,6,0
2019-12-12,1,6,6
2019-12-13,1,2,7
2019-12-14,0,1,0
2019-12-15,0,3,0
2019-12-16,0,4,19
2019-12-17,0,10,12
2019-12-18,4,7,0
2019-12-19,6,3,1
2019-12-20,8,3,2
2019-12-21,0,3,0
2019-12-22,0,1,0
2019-12-23,0,2,14
2019-12-24,0,2,0
2019-12-25,0,4,0
2019-12-26,0,3,0
2019-12-27,0,1,0
2019-12-28,0,1,0
2019-12-29,0,2,0
2019-12-30,0,1,2
2019-12-31,0,3,0
2020-01-01,0,2,0
2020-01-02,5,6,0
2020-01-03,0,5,0
2020-01-04,0,2,0
2020-01-05,0,2,0
2020-01-06,3,5,9
2020-01-07,2,2,9
2020-01-08,8,5,4
2020-01-09,0,1,1
2020-01-10,6,2,5
2020-01-11,0,4,0
2020-01-12,0,5,0
2020-01-13,0,4,18
2020-01-14,10,1,1
2020-01-15,6,2,5
2020-01-16,7,3,4
2020-01-17,3,7,3
2020-01-18,0,4,1
2020-01-19,0,1,0
2020-01-20,0,6,19
2020-01-21,8,5,5
2020-01-22,6,8,5
2020-01-23,1,2,1
2020-01-24,2,1,0
2020-01-25,0,1,0
2020-01-26,0,2,1
2020-01-27,6,5,10
2020-01-28,6,1,8
2020-01-29,17,6,5
2020-01-30,9,6,4
2020-01-31,3,9,0
2020-02-01,0,10,0
2020-02-02,0,10,0
2020-02-03,17,2,15
2020-02-04,5,10,6
2020-02-05,0,16,6
2020-02-06,5,5,2
2020-02-07,3,10,1
2020-02-08,1,4,0
2020-02-09,0,10,0
2020-02-10,11,26,31
2020-02-11,13,31,11
2020-02-12,10,3,4
2020-02-13,1,1,2
2020-02-14,7,3,11
2020-02-15,0,3,0
2020-02-16,0,1,0
2020-02-17,3,8,9
2020-02-18,5,8,11
2020-02-19,3,7,8
2020-02-20,1,4,3
2020-02-21,0,4,4
2020-02-22,0,3,2
2020-02-23,0,3,0
2020-02-24,3,4,20
2020-02-25,2,26,1
2020-02-26,1,4,4
2020-02-27,2,5,22
2020-02-28,0,5,0
2020-02-29,0,2,0
2020-03-01,0,7,0
2020-03-02,2,6,13
2020-03-03,6,14,4
2020-03-04,2,5,9
2020-03-05,10,1,7
2020-03-06,7,1,1
2020-03-07,0,1,3
2020-03-08,0,2,0
2020-03-09,4,2,16
2020-03-10,0,4,7
2020-03-11,0,1,1
2020-03-12,0,2,3
2020-03-13,1,3,4
2020-03-14,0,2,0
2020-03-15,0,1,0
2020-03-16,0,4,21
2020-03-17,0,1,8
2020-03-18,8,2,5
2020-03-19,19,1,7
2020-03-20,0,4,24
2020-03-21,0,1,0
2020-03-22,0,0,0
2020-03-23,1,3,9
2020-03-24,0,5,4
2020-03-25,1,2,50
2020-03-26,0,4,24
2020-03-27,0,8,8
2020-03-28,1,2,0
2020-03-29,0,1,1
2020-03-30,0,5,14
2020-03-31,0,4,5
2020-04-01,0,1,15
2020-04-02,0,1,10
2020-04-03,0,2,10
2020-04-04,1,2,0
2020-04-05,0,2,6
2020-04-06,0,1,19
2020-04-07,2,1,26
2020-04-08,1,2,29
2020-04-09,0,5,7
2020-04-10,0,3,17
2020-04-11,0,1,0
2020-04-12,0,1,0
2020-04-13,0,2,13
2020-04-14,0,4,12
2020-04-15,0,2,16
2020-04-16,0,7,21
2020-04-17,1,6,26
2020-04-18,0,1,0
2020-04-19,0,1,0
2020-04-20,2,5,23
2020-04-21,0,5,30
2020-04-22,1,4,32
2020-04-23,5,3,27
2020-04-24,7,2,0
2020-04-25,0,2,0
2020-04-26,0,2,0
2020-04-27,7,2,34
2020-04-28,1,1,19
2020-04-29,4,13,18
2020-04-30,13,4,35
2020-05-01,0,5,39
2020-05-02,0,11,0
2020-05-03,0,8,0
2020-05-04,0,5,3
2020-05-05,2,5,7
2020-05-06,3,4,13
2020-05-07,0,1,14
2020-05-08,5,3,25
2020-05-09,0,2,0
2020-05-10,0,3,0
2020-05-11,0,2,6
2020-05-12,2,4,2
2020-05-13,0,1,3
2020-05-14,13,9,0
2020-05-15,1,2,1
2020-05-16,0,7,0
2020-05-17,0,1,2
2020-05-18,0,6,19
2020-05-19,0,1,18
2020-05-20,1,4,23
2020-05-21,0,2,9
2020-05-22,4,4,21
2020-05-23,0,6,0
2020-05-24,0,2,0
2020-05-25,2,1,11
2020-05-26,5,3,27
2020-05-27,1,4,10
2020-05-28,3,1,34
2020-05-29,1,4,3
2020-05-30,0,1,0
2020-05-31,0,4,0
2020-06-01,1,11,11
2020-06-02,2,5,29
2020-06-03,1,13,7
2020-06-04,12,6,17
2020-06-05,3,3,13
2020-06-06,0,1,8
2020-06-07,3,4,0
2020-06-08,9,5,29
2020-06-09,1,12,23
2020-06-10,2,9,20
2020-06-11,0,3,32
2020-06-12,0,5,35
2020-06-13,0,3,0
2020-06-14,0,5,0
2020-06-15,0,8,19
2020-06-16,0,17,14
2020-06-17,1,8,8
2020-06-18,0,12,35
2020-06-19,0,13,34
2020-06-20,0,12,0
2020-06-21,0,4,1
2020-06-22,2,12,8
2020-06-23,4,25,24
2020-06-24,0,5,22
2020-06-25,3,13,13
2020-06-26,4,16,2
2020-06-27,2,8,0
2020-06-28,2,14,0
2020-06-29,5,9,20
2020-06-30,4,23,23
2020-07-01,11,12,24
2020-07-02,3,9,15
2020-07-03,0,10,14
2020-07-04,3,15,0
2020-07-05,0,24,0
2020-07-06,0,26,25
2020-07-07,5,48,16
2020-07-08,1,6,47
2020-07-09,5,2,19
2020-07-10,0,20,13
2020-07-11,0,11,0
2020-07-12,0,11,0
2020-07-13,0,8,13
2020-07-14,0,20,4
2020-07-15,0,2,10
2020-07-16,0,10,16
2020-07-17,2,5,10
2020-07-18,0,2,0
2020-07-19,0,2,0
2020-07-20,0,10,20
2020-07-21,10,37,42
2020-07-22,1,14,29
2020-07-23,0,21,17
2020-07-24,2,13,27
2020-07-25,0,13,0
2020-07-26,0,12,4
2020-07-27,1,20,6
2020-07-28,2,33,11
2020-07-29,0,4,10
2020-07-30,0,5,11
2020-07-31,0,5,1
2020-08-01,0,2,0
2020-08-02,0,4,0
2020-08-03,1,2,13
2020-08-04,3,13,30
2020-08-05,0,1,8
2020-08-06,0,3,6
2020-08-07,0,9,13
2020-08-08,0,4,0
2020-08-09,0,3,6
2020-08-10,0,7,30
2020-08-11,0,2,56
2020-08-12,1,2,11
2020-08-13,1,1,20
2020-08-14,0,2,5
2020-08-15,0,5,0
2020-08-16,0,5,0
2020-08-17,0,3,16
2020-08-18,0,5,31
2020-08-19,0,9,8
2020-08-20,0,2,16
2020-08-21,0,6,17
2020-08-22,0,2,1
2020-08-23,0,6,0
2020-08-24,1,5,20
2020-08-25,1,2,16
2020-08-26,2,5,12
2020-08-27,2,16,18
2020-08-28,7,3,5
2020-08-29,0,1,0
2020-08-30,0,1,0
2020-08-31,3,9,17
2020-09-01,5,3,14
