,opencv/opencv,davisking/dlib,scikit-image/scikit-image
2022-08-06,0,0,0
2022-08-07,2,0,0
2022-08-08,2,0,0
2022-08-09,0,2,1
2022-08-10,1,0,0
2022-08-11,3,0,0
2022-08-12,7,0,0
2022-08-13,1,0,0
2022-08-14,4,1,0
2022-08-15,5,0,0
2022-08-16,2,0,0
2022-08-17,2,1,0
2022-08-18,5,0,0
2022-08-19,3,0,3
2022-08-20,1,0,0
2022-08-21,1,0,1
2022-08-22,6,0,0
2022-08-23,2,0,2
2022-08-24,2,0,0
2022-08-25,2,0,0
2022-08-26,10,1,3
2022-08-27,0,0,1
2022-08-28,2,0,0
2022-08-29,8,1,2
2022-08-30,6,0,0
2022-08-31,6,0,1
2022-09-01,0,3,0
2022-09-02,3,0,1
2022-09-03,1,0,0
2022-09-04,1,0,0
2022-09-05,5,2,2
2022-09-06,6,0,0
2022-09-07,4,0,0
2022-09-08,2,0,0
2022-09-09,4,2,3
2022-09-10,2,0,1
2022-09-11,2,1,0
2022-09-12,7,0,0
2022-09-13,7,0,0
2022-09-14,12,0,1
2022-09-15,11,0,0
2022-09-16,8,0,3
2022-09-17,0,0,1
2022-09-18,2,0,0
2022-09-19,11,1,1
2022-09-20,6,0,1
2022-09-21,3,0,3
2022-09-22,0,0,1
2022-09-23,1,0,0
2022-09-24,0,0,2
2022-09-25,1,0,0
2022-09-26,5,0,0
2022-09-27,5,0,2
2022-09-28,6,0,3
2022-09-29,7,0,1
2022-09-30,2,0,1
2022-10-01,3,0,0
2022-10-02,0,0,0
2022-10-03,16,0,1
2022-10-04,14,0,1
2022-10-05,3,0,2
2022-10-06,4,0,0
2022-10-07,6,0,0
2022-10-08,3,0,0
2022-10-09,1,1,3
2022-10-10,2,0,0
2022-10-11,3,0,1
2022-10-12,5,0,5
2022-10-13,5,0,2
2022-10-14,4,0,3
2022-10-15,1,0,1
2022-10-16,2,0,0
2022-10-17,5,0,6
2022-10-18,5,0,1
2022-10-19,7,0,1
2022-10-20,2,0,1
2022-10-21,5,0,0
2022-10-22,0,0,1
2022-10-23,2,0,0
2022-10-24,5,0,0
2022-10-25,4,0,0
2022-10-26,4,0,0
2022-10-27,2,0,1
2022-10-28,4,0,1
2022-10-29,1,0,0
2022-10-30,1,0,0
2022-10-31,7,1,1
2022-11-01,1,0,0
2022-11-02,2,1,1
2022-11-03,3,0,3
2022-11-04,0,0,0
2022-11-05,0,0,0
2022-11-06,0,0,2
2022-11-07,2,0,0
2022-11-08,1,0,0
2022-11-09,0,1,0
2022-11-10,1,2,0
2022-11-11,3,0,1
2022-11-12,0,1,0
2022-11-13,0,0,0
2022-11-14,1,0,0
2022-11-15,4,0,0
2022-11-16,7,0,0
2022-11-17,4,0,1
2022-11-18,2,0,1
2022-11-19,0,0,0
2022-11-20,4,0,0
2022-11-21,8,0,0
2022-11-22,3,0,3
2022-11-23,0,0,0
2022-11-24,0,0,1
2022-11-25,4,0,0
2022-11-26,0,0,0
2022-11-27,1,0,1
2022-11-28,6,2,0
2022-11-29,4,1,1
2022-11-30,7,0,2
2022-12-01,3,0,2
2022-12-02,2,0,2
2022-12-03,7,0,1
2022-12-04,0,0,0
2022-12-05,0,0,0
2022-12-06,2,0,0
2022-12-07,3,0,0
2022-12-08,8,0,1
2022-12-09,3,2,1
2022-12-10,2,0,0
2022-12-11,1,0,0
2022-12-12,2,0,0
2022-12-13,6,0,0
2022-12-14,9,0,0
2022-12-15,7,0,1
2022-12-16,6,2,1
2022-12-17,1,0,2
2022-12-18,5,0,0
2022-12-19,6,0,0
2022-12-20,6,0,0
2022-12-21,19,0,0
2022-12-22,6,0,0
2022-12-23,12,0,0
2022-12-24,3,0,0
2022-12-25,5,0,0
2022-12-26,9,0,0
2022-12-27,7,0,0
2022-12-28,7,0,0
2022-12-29,0,0,0
2022-12-30,1,0,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,0,0
2023-01-03,2,1,0
2023-01-04,0,1,0
2023-01-05,0,0,0
2023-01-06,0,0,0
2023-01-07,0,0,0
2023-01-08,2,0,1
2023-01-09,12,0,1
2023-01-10,2,0,0
2023-01-11,4,0,0
2023-01-12,2,0,0
2023-01-13,1,0,1
2023-01-14,0,0,1
2023-01-15,0,0,0
2023-01-16,2,0,0
2023-01-17,1,0,2
2023-01-18,4,0,3
2023-01-19,2,0,9
2023-01-20,4,0,1
2023-01-21,1,0,1
2023-01-22,0,0,0
2023-01-23,4,0,1
2023-01-24,0,0,3
2023-01-25,2,0,2
2023-01-26,1,0,0
2023-01-27,3,0,2
2023-01-28,5,0,0
2023-01-29,0,1,0
2023-01-30,2,1,2
2023-01-31,2,0,1
2023-02-01,2,0,11
2023-02-02,2,0,1
2023-02-03,1,2,4
2023-02-04,0,0,2
2023-02-05,2,0,0
2023-02-06,5,0,4
2023-02-07,2,0,2
2023-02-08,4,0,3
2023-02-09,1,0,2
2023-02-10,3,0,0
2023-02-11,2,4,0
2023-02-12,0,0,0
2023-02-13,1,0,3
2023-02-14,3,0,1
2023-02-15,2,0,1
2023-02-16,1,0,3
2023-02-17,7,0,7
2023-02-18,0,0,8
2023-02-19,0,0,0
2023-02-20,1,0,3
2023-02-21,3,1,0
2023-02-22,1,0,3
2023-02-23,1,0,1
2023-02-24,0,1,4
2023-02-25,0,0,0
2023-02-26,0,0,3
2023-02-27,2,0,1
2023-02-28,0,0,5
2023-03-01,1,0,3
2023-03-02,0,2,1
2023-03-03,0,0,0
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,0,0,4
2023-03-07,1,0,1
2023-03-08,0,0,0
2023-03-09,0,0,4
2023-03-10,4,0,1
2023-03-11,1,2,3
2023-03-12,0,2,2
2023-03-13,4,0,2
2023-03-14,8,0,2
2023-03-15,5,1,0
2023-03-16,0,0,0
2023-03-17,5,1,1
2023-03-18,0,1,0
2023-03-19,1,0,0
2023-03-20,3,0,0
2023-03-21,12,0,0
2023-03-22,6,0,0
2023-03-23,2,2,3
2023-03-24,8,3,2
2023-03-25,0,2,0
2023-03-26,2,1,0
2023-03-27,3,1,2
2023-03-28,0,0,0
2023-03-29,1,0,0
2023-03-30,1,1,1
2023-03-31,0,0,1
2023-04-01,2,1,0
2023-04-02,8,0,0
2023-04-03,3,0,0
2023-04-04,2,1,4
2023-04-05,2,1,6
2023-04-06,7,0,5
2023-04-07,4,1,2
2023-04-08,1,1,1
2023-04-09,0,1,0
2023-04-10,3,0,6
2023-04-11,8,0,2
2023-04-12,5,0,3
2023-04-13,2,5,0
2023-04-14,3,1,1
2023-04-15,1,1,2
2023-04-16,0,0,0
2023-04-17,3,0,0
2023-04-18,5,0,0
2023-04-19,2,1,0
2023-04-20,5,0,1
2023-04-21,4,0,0
2023-04-22,2,5,0
2023-04-23,1,0,0
2023-04-24,7,0,1
2023-04-25,3,0,1
2023-04-26,4,0,1
2023-04-27,3,0,1
2023-04-28,4,0,1
2023-04-29,0,0,0
2023-04-30,2,0,0
2023-05-01,3,0,0
2023-05-02,0,0,0
2023-05-03,1,0,0
2023-05-04,5,0,0
2023-05-05,9,0,0
2023-05-06,0,2,0
2023-05-07,0,0,0
2023-05-08,0,0,1
2023-05-09,0,2,0
2023-05-10,6,0,2
2023-05-11,1,0,3
2023-05-12,0,0,1
2023-05-13,0,0,2
2023-05-14,0,2,0
2023-05-15,4,0,1
2023-05-16,9,2,4
2023-05-17,10,0,0
2023-05-18,5,2,9
2023-05-19,6,1,3
2023-05-20,0,0,0
2023-05-21,1,0,0
2023-05-22,7,0,1
2023-05-23,4,0,1
2023-05-24,6,1,2
2023-05-25,9,0,6
2023-05-26,13,0,3
2023-05-27,3,0,1
2023-05-28,0,0,0
2023-05-29,5,0,0
2023-05-30,5,0,0
2023-05-31,1,0,10
2023-06-01,4,0,6
2023-06-02,5,1,4
2023-06-03,1,1,1
2023-06-04,1,0,0
2023-06-05,2,0,4
2023-06-06,3,0,9
2023-06-07,5,0,3
2023-06-08,4,0,1
2023-06-09,8,0,6
2023-06-10,3,0,2
2023-06-11,1,0,2
2023-06-12,2,1,1
2023-06-13,8,0,1
2023-06-14,8,0,12
2023-06-15,11,0,10
2023-06-16,15,0,3
2023-06-17,1,0,2
2023-06-18,0,0,0
2023-06-19,1,0,0
2023-06-20,13,0,0
2023-06-21,7,0,0
2023-06-22,6,0,0
2023-06-23,12,0,0
2023-06-24,0,0,0
2023-06-25,1,0,0
2023-06-26,0,0,0
2023-06-27,2,0,0
2023-06-28,5,0,1
2023-06-29,0,1,0
2023-06-30,0,0,1
2023-07-01,1,0,0
2023-07-02,1,0,1
2023-07-03,8,0,2
2023-07-04,7,0,0
2023-07-05,2,0,1
2023-07-06,2,0,0
2023-07-07,3,0,2
2023-07-08,0,1,7
2023-07-09,0,0,3
2023-07-10,10,1,0
2023-07-11,18,0,2
2023-07-12,4,0,0
2023-07-13,4,0,0
2023-07-14,5,0,1
2023-07-15,0,0,0
2023-07-16,0,1,0
2023-07-17,1,1,0
2023-07-18,4,0,0
2023-07-19,5,0,0
2023-07-20,3,0,0
2023-07-21,10,3,0
2023-07-22,1,0,0
2023-07-23,2,1,0
2023-07-24,0,0,2
2023-07-25,2,0,0
2023-07-26,10,0,0
2023-07-27,7,1,0
2023-07-28,0,2,1
2023-07-29,0,0,0
2023-07-30,0,0,0
2023-07-31,0,0,0
2023-08-01,8,0,0
2023-08-02,5,0,0
2023-08-03,1,0,0
2023-08-04,4,0,0
2023-08-05,0,3,0
2023-08-06,0,1,0
2023-08-07,2,0,1
2023-08-08,0,0,0
2023-08-09,5,0,0
2023-08-10,3,0,0
2023-08-11,4,0,0
2023-08-12,1,0,0
2023-08-13,2,0,0
2023-08-14,2,0,1
2023-08-15,3,0,3
2023-08-16,4,0,1
2023-08-17,4,0,2
2023-08-18,6,0,2
2023-08-19,0,0,0
2023-08-20,0,0,0
2023-08-21,0,0,1
2023-08-22,0,0,0
2023-08-23,3,0,0
2023-08-24,0,0,0
2023-08-25,1,0,1
2023-08-26,0,1,3
2023-08-27,2,0,0
2023-08-28,0,0,0
2023-08-29,1,0,0
2023-08-30,1,0,0
2023-08-31,0,0,0
2023-09-01,0,0,0
2023-09-02,0,0,0
2023-09-03,0,0,0
2023-09-04,10,0,0
2023-09-05,14,0,0
2023-09-06,5,0,1
2023-09-07,4,0,10
2023-09-08,8,0,4
2023-09-09,2,0,0
2023-09-10,2,0,0
2023-09-11,3,0,0
2023-09-12,2,1,0
2023-09-13,2,0,5
2023-09-14,8,0,0
2023-09-15,3,0,3
2023-09-16,0,0,0
2023-09-17,0,0,0
2023-09-18,5,2,0
2023-09-19,6,2,0
2023-09-20,6,1,2
2023-09-21,1,0,2
2023-09-22,3,0,3
2023-09-23,0,0,2
2023-09-24,0,1,0
2023-09-25,4,0,3
2023-09-26,0,0,3
2023-09-27,6,0,8
2023-09-28,4,0,8
2023-09-29,4,0,2
2023-09-30,0,1,4
2023-10-01,1,0,0
2023-10-02,1,0,0
2023-10-03,11,0,5
2023-10-04,4,0,2
2023-10-05,3,0,1
2023-10-06,4,0,1
2023-10-07,2,1,0
2023-10-08,0,0,0
2023-10-09,0,0,1
2023-10-10,0,0,1
2023-10-11,0,3,3
2023-10-12,5,0,4
2023-10-13,4,0,1
2023-10-14,0,0,0
2023-10-15,0,0,0
2023-10-16,4,0,3
2023-10-17,2,0,2
2023-10-18,5,0,9
2023-10-19,6,0,5
2023-10-20,6,0,1
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,2,0,0
2023-10-24,5,0,0
2023-10-25,2,0,0
2023-10-26,1,0,0
2023-10-27,3,0,3
2023-10-28,0,0,0
2023-10-29,0,0,0
2023-10-30,2,0,2
2023-10-31,2,0,1
2023-11-01,3,0,0
2023-11-02,2,0,0
2023-11-03,6,0,1
2023-11-04,0,0,0
2023-11-05,0,0,0
2023-11-06,1,0,0
2023-11-07,5,0,3
2023-11-08,11,0,0
2023-11-09,3,0,1
2023-11-10,1,0,0
2023-11-11,3,0,0
2023-11-12,1,0,0
2023-11-13,7,1,0
2023-11-14,2,0,1
2023-11-15,1,0,0
2023-11-16,4,0,0
2023-11-17,1,0,0
2023-11-18,0,0,1
2023-11-19,0,0,0
2023-11-20,5,0,0
2023-11-21,6,0,3
2023-11-22,1,0,0
2023-11-23,3,0,0
2023-11-24,4,0,2
2023-11-25,0,0,0
2023-11-26,0,0,0
2023-11-27,2,0,2
2023-11-28,9,0,1
2023-11-29,8,0,0
2023-11-30,10,0,1
2023-12-01,1,0,0
2023-12-02,1,0,0
2023-12-03,1,0,0
2023-12-04,5,0,0
2023-12-05,8,0,0
2023-12-06,7,0,0
2023-12-07,2,0,0
2023-12-08,8,2,0
2023-12-09,2,0,0
2023-12-10,4,0,0
2023-12-11,6,0,0
2023-12-12,7,0,0
2023-12-13,8,0,1
2023-12-14,0,0,0
2023-12-15,7,0,1
2023-12-16,1,0,0
2023-12-17,1,0,0
2023-12-18,4,0,1
2023-12-19,11,0,1
2023-12-20,12,0,0
2023-12-21,10,0,0
2023-12-22,16,0,1
2023-12-23,1,0,0
2023-12-24,3,0,0
2023-12-25,15,0,0
2023-12-26,9,0,0
2023-12-27,7,0,0
2023-12-28,4,0,0
2023-12-29,7,0,0
2023-12-30,0,0,0
2023-12-31,1,0,0
2024-01-01,0,0,0
2024-01-02,2,0,0
2024-01-03,1,0,0
2024-01-04,0,0,0
2024-01-05,4,0,0
2024-01-06,7,0,0
2024-01-07,4,0,0
2024-01-08,4,0,0
2024-01-09,10,1,1
2024-01-10,6,0,2
2024-01-11,5,0,9
2024-01-12,8,0,3
2024-01-13,2,0,4
2024-01-14,1,0,1
2024-01-15,0,0,0
2024-01-16,7,0,3
2024-01-17,15,0,0
2024-01-18,5,0,6
2024-01-19,2,0,0
2024-01-20,0,0,0
2024-01-21,1,0,0
2024-01-22,1,0,2
2024-01-23,3,0,0
2024-01-24,0,0,0
2024-01-25,1,0,1
2024-01-26,4,0,6
2024-01-27,2,0,0
2024-01-28,2,1,0
2024-01-29,6,0,0
2024-01-30,2,0,1
2024-01-31,9,0,0
2024-02-01,1,0,0
2024-02-02,2,0,0
2024-02-03,0,0,0
2024-02-04,0,0,0
2024-02-05,1,1,0
2024-02-06,3,0,0
2024-02-07,5,0,0
2024-02-08,1,0,0
2024-02-09,1,0,5
2024-02-10,0,0,2
2024-02-11,0,0,0
2024-02-12,8,0,0
2024-02-13,4,0,0
2024-02-14,3,0,0
2024-02-15,5,0,1
2024-02-16,7,0,15
2024-02-17,0,0,0
2024-02-18,3,0,1
2024-02-19,3,0,7
2024-02-20,3,0,1
2024-02-21,3,1,3
2024-02-22,7,0,2
2024-02-23,2,0,4
2024-02-24,4,0,0
2024-02-25,0,0,2
2024-02-26,9,0,0
2024-02-27,7,0,1
2024-02-28,3,0,4
2024-02-29,1,1,2
2024-03-01,2,0,4
2024-03-02,3,0,0
2024-03-03,2,0,0
2024-03-04,3,3,0
2024-03-05,10,0,0
2024-03-06,5,2,1
2024-03-07,0,0,0
2024-03-08,3,0,0
2024-03-09,0,0,0
2024-03-10,1,1,1
2024-03-11,1,0,1
2024-03-12,1,0,3
2024-03-13,1,1,1
2024-03-14,4,0,1
2024-03-15,0,0,1
2024-03-16,0,0,0
2024-03-17,0,0,0
2024-03-18,2,0,3
2024-03-19,1,0,0
2024-03-20,1,0,2
2024-03-21,2,0,9
2024-03-22,1,0,2
2024-03-23,1,0,3
2024-03-24,0,0,1
2024-03-25,9,0,3
2024-03-26,6,1,0
2024-03-27,5,0,0
2024-03-28,5,0,0
2024-03-29,11,0,1
2024-03-30,4,0,0
2024-03-31,1,6,0
2024-04-01,3,0,0
2024-04-02,1,0,0
2024-04-03,7,1,1
2024-04-04,5,0,8
2024-04-05,2,0,0
2024-04-06,2,0,1
2024-04-07,3,0,0
2024-04-08,6,0,0
2024-04-09,9,0,1
2024-04-10,11,3,5
2024-04-11,6,0,9
2024-04-12,4,1,5
2024-04-13,3,0,4
2024-04-14,0,0,3
2024-04-15,5,0,0
2024-04-16,2,0,0
2024-04-17,12,0,0
2024-04-18,2,0,2
2024-04-19,8,0,0
2024-04-20,0,0,2
2024-04-21,0,0,0
2024-04-22,6,0,1
2024-04-23,0,0,3
2024-04-24,2,0,1
2024-04-25,4,0,0
2024-04-26,2,0,0
2024-04-27,3,4,0
2024-04-28,1,0,1
2024-04-29,2,0,0
2024-04-30,4,0,1
2024-05-01,2,0,0
2024-05-02,7,0,0
2024-05-03,15,0,0
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,5,0,1
2024-05-07,5,0,5
2024-05-08,2,0,2
2024-05-09,2,0,1
2024-05-10,0,0,0
