,huggingface/transformers,EleutherAI/gpt-neox,eleutherai/gpt-neo
2021-04-18,0,9.0,0
2021-04-19,4,6.0,1
2021-04-20,6,3.0,1
2021-04-21,13,2.0,0
2021-04-22,7,19.0,0
2021-04-23,19,24.0,0
2021-04-24,2,2.0,0
2021-04-25,2,23.0,0
2021-04-26,20,30.0,0
2021-04-27,3,19.0,0
2021-04-28,3,40.0,0
2021-04-29,4,16.0,0
2021-04-30,19,72.0,0
2021-05-01,0,6.0,0
2021-05-02,1,10.0,0
2021-05-03,12,5.0,0
2021-05-04,8,1.0,0
2021-05-05,5,28.0,0
2021-05-06,8,21.0,0
2021-05-07,7,16.0,0
2021-05-08,0,12.0,0
2021-05-09,1,6.0,0
2021-05-10,10,10.0,0
2021-05-11,8,19.0,0
2021-05-12,9,9.0,0
2021-05-13,8,10.0,0
2021-05-14,4,6.0,0
2021-05-15,0,0.0,0
2021-05-16,0,0.0,0
2021-05-17,7,4.0,0
2021-05-18,10,5.0,2
2021-05-19,3,9.0,0
2021-05-20,6,3.0,0
2021-05-21,7,0.0,0
2021-05-22,1,1.0,1
2021-05-23,0,0.0,0
2021-05-24,7,2.0,0
2021-05-25,9,1.0,0
2021-05-26,7,0.0,0
2021-05-27,3,2.0,0
2021-05-28,3,0.0,0
2021-05-29,0,0.0,2
2021-05-30,0,0.0,0
2021-05-31,4,0.0,1
2021-06-01,15,0.0,0
2021-06-02,7,0.0,0
2021-06-03,2,1.0,0
2021-06-04,2,0.0,0
2021-06-05,0,0.0,0
2021-06-06,0,0.0,0
2021-06-07,7,2.0,0
2021-06-08,11,0.0,0
2021-06-09,8,3.0,2
2021-06-10,10,12.0,0
2021-06-11,3,2.0,0
2021-06-12,0,0.0,0
2021-06-13,1,0.0,0
2021-06-14,19,0.0,0
2021-06-15,14,3.0,0
2021-06-16,6,7.0,0
2021-06-17,9,4.0,0
2021-06-18,4,0.0,0
2021-06-19,0,0.0,0
2021-06-20,0,2.0,0
2021-06-21,10,0.0,0
2021-06-22,10,17.0,0
2021-06-23,21,0.0,0
2021-06-24,5,4.0,0
2021-06-25,10,0.0,0
2021-06-26,2,0.0,2
2021-06-27,0,0.0,0
2021-06-28,13,0.0,0
2021-06-29,11,0.0,0
2021-06-30,10,2.0,0
2021-07-01,12,1.0,0
2021-07-02,7,1.0,0
2021-07-03,0,0.0,0
2021-07-04,1,0.0,0
2021-07-05,12,0.0,0
2021-07-06,9,0.0,0
2021-07-07,12,3.0,0
2021-07-08,9,0.0,0
2021-07-09,11,0.0,0
2021-07-10,3,0.0,0
2021-07-11,0,0.0,0
2021-07-12,19,2.0,0
2021-07-13,13,0.0,0
2021-07-14,11,0.0,0
2021-07-15,19,0.0,0
2021-07-16,5,0.0,0
2021-07-17,4,0.0,0
2021-07-18,0,0.0,0
2021-07-19,3,2.0,0
2021-07-20,9,1.0,0
2021-07-21,9,0.0,0
2021-07-22,4,0.0,0
2021-07-23,3,0.0,0
2021-07-24,2,0.0,0
2021-07-25,0,0.0,0
2021-07-26,10,0.0,0
2021-07-27,3,0.0,0
2021-07-28,12,0.0,0
2021-07-29,3,0.0,0
2021-07-30,6,4.0,0
2021-07-31,0,0.0,0
2021-08-01,1,0.0,0
2021-08-02,3,0.0,0
2021-08-03,3,0.0,0
2021-08-04,10,0.0,0
2021-08-05,4,0.0,0
2021-08-06,6,0.0,0
2021-08-07,0,0.0,0
2021-08-08,2,0.0,0
2021-08-09,6,0.0,0
2021-08-10,12,0.0,2
2021-08-11,3,0.0,0
2021-08-12,13,0.0,0
2021-08-13,7,3.0,0
2021-08-14,0,0.0,1
2021-08-15,0,0.0,0
2021-08-16,7,0.0,0
2021-08-17,2,0.0,0
2021-08-18,2,0.0,0
2021-08-19,1,0.0,0
2021-08-20,1,0.0,0
2021-08-21,0,1.0,0
2021-08-22,0,0.0,0
2021-08-23,9,0.0,0
2021-08-24,5,2.0,2
2021-08-25,8,2.0,1
2021-08-26,13,2.0,1
2021-08-27,8,0.0,0
2021-08-28,1,0.0,2
2021-08-29,0,0.0,0
2021-08-30,22,3.0,0
2021-08-31,21,12.0,1
2021-09-01,26,0.0,10
2021-09-02,11,0.0,0
2021-09-03,0,0.0,0
2021-09-04,0,0.0,0
2021-09-05,0,0.0,0
2021-09-06,11,0.0,0
2021-09-07,5,0.0,0
2021-09-08,13,2.0,1
2021-09-09,7,0.0,0
2021-09-10,7,0.0,0
2021-09-11,0,0.0,6
2021-09-12,0,0.0,0
2021-09-13,10,0.0,0
2021-09-14,8,0.0,0
2021-09-15,4,0.0,0
2021-09-16,11,0.0,0
2021-09-17,9,0.0,0
2021-09-18,0,0.0,0
2021-09-19,0,0.0,0
2021-09-20,10,0.0,0
2021-09-21,12,0.0,0
2021-09-22,11,0.0,0
2021-09-23,6,0.0,0
2021-09-24,10,0.0,0
2021-09-25,2,0.0,0
2021-09-26,4,0.0,0
2021-09-27,9,0.0,0
2021-09-28,2,5.0,0
2021-09-29,10,6.0,0
2021-09-30,8,0.0,0
2021-10-01,5,0.0,0
2021-10-02,0,0.0,0
2021-10-03,0,0.0,0
2021-10-04,6,0.0,0
2021-10-05,10,0.0,0
2021-10-06,12,0.0,3
2021-10-07,8,0.0,0
2021-10-08,11,2.0,0
2021-10-09,1,0.0,0
2021-10-10,0,0.0,0
2021-10-11,10,0.0,0
2021-10-12,7,2.0,0
2021-10-13,1,0.0,0
2021-10-14,10,0.0,0
2021-10-15,4,2.0,0
2021-10-16,3,0.0,0
2021-10-17,1,5.0,0
2021-10-18,10,3.0,0
2021-10-19,3,5.0,0
2021-10-20,10,7.0,0
2021-10-21,12,0.0,0
2021-10-22,9,0.0,0
2021-10-23,0,1.0,0
2021-10-24,0,5.0,2
2021-10-25,11,1.0,0
2021-10-26,14,1.0,0
2021-10-27,8,0.0,0
2021-10-28,11,0.0,0
2021-10-29,11,0.0,0
2021-10-30,0,2.0,0
2021-10-31,0,4.0,0
2021-11-01,9,0.0,0
2021-11-02,7,4.0,0
2021-11-03,11,0.0,0
2021-11-04,4,2.0,0
2021-11-05,3,0.0,0
2021-11-06,4,0.0,0
2021-11-07,0,3.0,0
2021-11-08,8,0.0,0
2021-11-09,10,1.0,0
2021-11-10,6,0.0,0
2021-11-11,7,0.0,0
2021-11-12,4,0.0,0
2021-11-13,2,0.0,0
2021-11-14,1,0.0,0
2021-11-15,8,0.0,0
2021-11-16,5,0.0,0
2021-11-17,6,2.0,0
2021-11-18,7,2.0,0
2021-11-19,5,0.0,0
2021-11-20,0,0.0,0
2021-11-21,2,0.0,0
2021-11-22,6,0.0,1
2021-11-23,1,0.0,0
2021-11-24,3,0.0,0
2021-11-25,2,0.0,0
2021-11-26,4,1.0,0
2021-11-27,0,0.0,0
2021-11-28,1,0.0,0
2021-11-29,6,0.0,0
2021-11-30,6,0.0,0
2021-12-01,6,0.0,0
2021-12-02,8,0.0,0
2021-12-03,6,0.0,0
2021-12-04,0,0.0,0
2021-12-05,1,0.0,0
2021-12-06,15,0.0,0
2021-12-07,5,1.0,0
2021-12-08,19,0.0,0
2021-12-09,10,0.0,0
2021-12-10,10,0.0,0
2021-12-11,2,0.0,0
2021-12-12,3,1.0,0
2021-12-13,19,0.0,0
2021-12-14,3,0.0,0
2021-12-15,12,0.0,0
2021-12-16,11,0.0,0
2021-12-17,8,0.0,0
2021-12-18,0,0.0,0
2021-12-19,0,0.0,0
2021-12-20,12,1.0,0
2021-12-21,17,0.0,0
2021-12-22,14,0.0,0
2021-12-23,16,0.0,0
2021-12-24,1,0.0,0
2021-12-25,0,0.0,0
2021-12-26,0,0.0,0
2021-12-27,8,0.0,0
2021-12-28,8,0.0,0
2021-12-29,2,0.0,0
2021-12-30,6,0.0,0
2021-12-31,0,0.0,0
2022-01-01,0,0.0,0
2022-01-02,0,0.0,0
2022-01-03,7,0.0,0
2022-01-04,6,0.0,0
2022-01-05,6,0.0,0
2022-01-06,16,0.0,0
2022-01-07,5,0.0,0
2022-01-08,1,3.0,0
2022-01-09,0,0.0,0
2022-01-10,30,0.0,0
2022-01-11,17,1.0,0
2022-01-12,8,0.0,0
2022-01-13,8,0.0,0
2022-01-14,11,0.0,0
2022-01-15,1,0.0,0
2022-01-16,1,1.0,0
2022-01-17,5,1.0,1
2022-01-18,19,1.0,0
2022-01-19,18,0.0,0
2022-01-20,9,0.0,0
2022-01-21,15,2.0,0
2022-01-22,0,0.0,0
2022-01-23,0,0.0,0
2022-01-24,12,0.0,0
2022-01-25,4,0.0,0
2022-01-26,8,0.0,0
2022-01-27,15,0.0,0
2022-01-28,11,0.0,0
2022-01-29,4,2.0,0
2022-01-30,1,2.0,0
2022-01-31,25,2.0,0
2022-02-01,11,0.0,0
2022-02-02,12,5.0,0
2022-02-03,8,0.0,0
2022-02-04,6,3.0,0
2022-02-05,0,0.0,0
2022-02-06,0,0.0,0
2022-02-07,12,1.0,0
2022-02-08,6,0.0,0
2022-02-09,18,2.0,0
2022-02-10,9,3.0,0
2022-02-11,12,1.0,0
2022-02-12,0,4.0,0
2022-02-13,0,3.0,0
2022-02-14,6,0.0,0
2022-02-15,21,0.0,0
2022-02-16,10,0.0,0
2022-02-17,5,0.0,0
2022-02-18,12,2.0,0
2022-02-19,0,0.0,0
2022-02-20,0,6.0,0
2022-02-21,6,2.0,0
2022-02-22,8,0.0,0
2022-02-23,20,3.0,0
2022-02-24,7,3.0,0
