,JuliaLang/julia,python/cpython,rust-lang/rust
2022-10-24,16,16,106
2022-10-25,9,18,92
2022-10-26,9,14,95
2022-10-27,9,10,99
2022-10-28,5,11,74
2022-10-29,8,8,109
2022-10-30,1,5,39
2022-10-31,4,9,70
2022-11-01,8,12,71
2022-11-02,23,18,72
2022-11-03,12,24,52
2022-11-04,9,9,105
2022-11-05,2,8,102
2022-11-06,8,14,69
2022-11-07,5,15,158
2022-11-08,15,16,78
2022-11-09,6,9,122
2022-11-10,8,22,95
2022-11-11,1,14,86
2022-11-12,0,10,85
2022-11-13,3,11,71
2022-11-14,5,22,72
2022-11-15,8,9,102
2022-11-16,6,16,70
2022-11-17,3,6,70
2022-11-18,1,6,97
2022-11-19,8,3,105
2022-11-20,2,4,106
2022-11-21,8,7,130
2022-11-22,4,19,80
2022-11-23,3,8,90
2022-11-24,3,15,86
2022-11-25,3,8,170
2022-11-26,2,13,80
2022-11-27,2,11,88
2022-11-28,12,9,100
2022-11-29,9,10,100
2022-11-30,9,14,65
2022-12-01,4,3,90
2022-12-02,3,4,87
2022-12-03,4,4,75
2022-12-04,1,6,54
2022-12-05,5,15,53
2022-12-06,3,11,106
2022-12-07,14,8,60
2022-12-08,0,13,59
2022-12-09,4,13,83
2022-12-10,5,8,60
2022-12-11,5,3,68
2022-12-12,6,12,68
2022-12-13,6,2,110
2022-12-14,5,6,112
2022-12-15,3,6,88
2022-12-16,3,11,70
2022-12-17,0,8,79
2022-12-18,1,2,53
2022-12-19,2,2,53
2022-12-20,10,8,91
2022-12-21,12,10,59
2022-12-22,9,10,74
2022-12-23,3,16,60
2022-12-24,3,16,42
2022-12-25,2,2,44
2022-12-26,3,3,22
2022-12-27,16,3,67
2022-12-28,14,19,110
2022-12-29,18,4,67
2022-12-30,2,3,52
2022-12-31,3,6,54
2023-01-01,4,9,39
2023-01-02,6,6,87
2023-01-03,6,7,66
2023-01-04,7,7,80
2023-01-05,10,9,56
2023-01-06,8,9,62
2023-01-07,3,7,53
2023-01-08,5,13,37
2023-01-09,7,12,172
2023-01-10,32,7,52
2023-01-11,6,9,133
2023-01-12,9,7,131
2023-01-13,12,5,106
2023-01-14,4,8,131
2023-01-15,1,3,49
2023-01-16,9,7,65
2023-01-17,7,3,100
2023-01-18,9,6,72
2023-01-19,11,5,76
2023-01-20,4,16,84
2023-01-21,1,9,83
2023-01-22,10,8,54
2023-01-23,2,7,100
2023-01-24,8,13,50
2023-01-25,3,7,64
2023-01-26,5,9,81
2023-01-27,3,5,151
2023-01-28,8,5,77
2023-01-29,1,1,57
2023-01-30,5,8,91
2023-01-31,3,12,95
2023-02-01,9,10,72
2023-02-02,8,5,73
2023-02-03,12,9,80
2023-02-04,3,6,30
2023-02-05,17,9,61
2023-02-06,7,11,65
2023-02-07,14,17,72
2023-02-08,9,16,52
2023-02-09,8,13,84
2023-02-10,23,10,89
2023-02-11,2,2,53
2023-02-12,5,4,56
2023-02-13,20,6,90
2023-02-14,11,7,139
2023-02-15,6,7,86
2023-02-16,13,11,95
2023-02-17,6,10,75
2023-02-18,1,4,98
2023-02-19,1,10,73
2023-02-20,3,10,93
2023-02-21,7,9,91
2023-02-22,2,7,83
2023-02-23,3,12,66
2023-02-24,5,9,42
2023-02-25,5,8,79
2023-02-26,3,4,82
2023-02-27,3,8,64
2023-02-28,7,10,79
2023-03-01,12,6,126
2023-03-02,7,5,66
2023-03-03,41,4,93
2023-03-04,5,9,80
2023-03-05,7,10,84
2023-03-06,18,5,75
2023-03-07,7,8,60
2023-03-08,22,13,98
2023-03-09,7,7,97
2023-03-10,7,6,104
2023-03-11,1,9,75
2023-03-12,0,4,78
2023-03-13,1,13,76
2023-03-14,2,12,87
2023-03-15,6,13,87
2023-03-16,10,16,86
2023-03-17,6,5,88
2023-03-18,1,5,47
2023-03-19,1,6,59
2023-03-20,7,8,70
2023-03-21,12,17,92
2023-03-22,4,17,91
2023-03-23,9,15,79
2023-03-24,17,7,75
2023-03-25,3,8,63
2023-03-26,2,0,61
2023-03-27,2,7,84
2023-03-28,10,3,81
2023-03-29,7,8,99
2023-03-30,11,6,105
2023-03-31,10,12,50
2023-04-01,5,2,33
2023-04-02,3,7,34
2023-04-03,4,8,105
2023-04-04,7,11,115
2023-04-05,17,15,91
2023-04-06,3,13,112
2023-04-07,7,12,70
2023-04-08,3,8,48
2023-04-09,11,16,85
2023-04-10,15,8,64
2023-04-11,9,15,101
2023-04-12,6,10,108
2023-04-13,17,10,99
2023-04-14,5,12,104
2023-04-15,2,3,47
2023-04-16,0,2,111
2023-04-17,14,6,90
2023-04-18,7,8,60
2023-04-19,8,12,83
2023-04-20,14,1,104
2023-04-21,5,4,94
2023-04-22,9,12,101
2023-04-23,2,11,70
2023-04-24,9,40,90
2023-04-25,7,12,93
2023-04-26,10,19,101
2023-04-27,13,20,109
2023-04-28,8,11,92
2023-04-29,3,6,95
2023-04-30,0,8,56
2023-05-01,3,21,64
2023-05-02,10,15,150
2023-05-03,10,22,68
2023-05-04,31,28,67
2023-05-05,19,21,120
2023-05-06,11,12,118
2023-05-07,2,18,64
2023-05-08,13,13,83
2023-05-09,7,18,70
2023-05-10,12,13,67
2023-05-11,10,17,72
2023-05-12,17,20,74
2023-05-13,6,6,63
2023-05-14,2,6,57
2023-05-15,16,13,79
2023-05-16,8,20,72
2023-05-17,16,11,54
2023-05-18,4,16,102
2023-05-19,6,19,39
2023-05-20,5,14,62
2023-05-21,5,20,44
2023-05-22,5,23,64
2023-05-23,4,15,75
2023-05-24,4,30,75
2023-05-25,3,17,105
2023-05-26,8,23,119
2023-05-27,2,9,46
2023-05-28,0,4,51
2023-05-29,4,7,66
2023-05-30,8,18,72
2023-05-31,13,20,80
2023-06-01,6,19,100
2023-06-02,6,14,105
2023-06-03,2,2,61
2023-06-04,2,4,53
2023-06-05,5,13,116
2023-06-06,8,29,67
2023-06-07,8,24,73
2023-06-08,4,14,76
2023-06-09,8,20,66
2023-06-10,2,2,72
2023-06-11,1,15,62
2023-06-12,4,9,108
2023-06-13,11,16,84
2023-06-14,8,30,102
2023-06-15,8,13,78
2023-06-16,8,10,81
2023-06-17,10,1,73
2023-06-18,2,4,58
2023-06-19,7,8,125
2023-06-20,10,7,107
2023-06-21,5,12,111
2023-06-22,14,10,85
2023-06-23,2,13,77
2023-06-24,4,3,55
2023-06-25,4,3,61
2023-06-26,7,13,62
2023-06-27,10,12,113
2023-06-28,11,16,101
2023-06-29,10,9,93
2023-06-30,11,18,99
2023-07-01,3,11,61
2023-07-02,3,11,72
2023-07-03,4,26,112
2023-07-04,2,19,67
2023-07-05,14,9,100
2023-07-06,13,12,69
2023-07-07,11,12,89
2023-07-08,4,8,83
2023-07-09,2,7,41
2023-07-10,10,16,103
2023-07-11,12,25,53
2023-07-12,9,13,81
2023-07-13,13,12,84
2023-07-14,10,11,92
2023-07-15,10,8,33
2023-07-16,4,7,74
2023-07-17,9,15,76
2023-07-18,8,13,84
2023-07-19,13,6,80
2023-07-20,4,12,96
2023-07-21,3,12,103
2023-07-22,4,40,94
2023-07-23,6,26,38
2023-07-24,12,20,100
2023-07-25,3,26,94
2023-07-26,7,18,83
2023-07-27,6,23,90
2023-07-28,2,14,78
2023-07-29,3,11,73
2023-07-30,0,2,103
2023-07-31,7,18,131
2023-08-01,5,10,87
2023-08-02,10,8,109
2023-08-03,10,9,96
2023-08-04,3,17,99
2023-08-05,3,7,70
2023-08-06,1,7,73
2023-08-07,2,19,88
2023-08-08,4,15,96
2023-08-09,9,12,73
2023-08-10,9,12,53
2023-08-11,6,11,72
2023-08-12,1,4,40
2023-08-13,0,4,49
2023-08-14,16,7,89
2023-08-15,3,12,98
2023-08-16,5,26,101
2023-08-17,5,15,57
2023-08-18,9,9,83
2023-08-19,3,7,47
2023-08-20,2,12,45
2023-08-21,11,27,67
2023-08-22,3,26,105
2023-08-23,7,22,60
2023-08-24,6,34,79
2023-08-25,10,20,56
2023-08-26,6,5,51
2023-08-27,2,11,46
2023-08-28,7,14,91
2023-08-29,2,33,70
2023-08-30,9,13,86
2023-08-31,16,16,62
2023-09-01,9,18,73
2023-09-02,1,18,72
2023-09-03,5,10,76
2023-09-04,0,12,34
2023-09-05,11,18,75
2023-09-06,8,24,88
2023-09-07,7,25,71
2023-09-08,5,19,103
2023-09-09,8,11,46
2023-09-10,1,13,64
2023-09-11,4,20,91
2023-09-12,4,27,67
2023-09-13,12,13,52
2023-09-14,13,13,85
2023-09-15,7,14,66
2023-09-16,5,4,65
2023-09-17,6,2,44
2023-09-18,9,12,91
2023-09-19,8,14,77
2023-09-20,12,12,72
2023-09-21,4,14,83
2023-09-22,7,24,124
2023-09-23,8,9,63
2023-09-24,2,5,62
2023-09-25,6,22,80
2023-09-26,5,20,54
2023-09-27,7,18,35
2023-09-28,5,17,112
2023-09-29,8,29,68
2023-09-30,8,13,46
2023-10-01,3,8,52
2023-10-02,4,18,100
2023-10-03,5,18,82
2023-10-04,3,21,85
2023-10-05,6,23,105
2023-10-06,9,10,113
2023-10-07,8,4,39
2023-10-08,2,5,53
2023-10-09,3,18,111
2023-10-10,5,27,90
2023-10-11,8,22,69
2023-10-12,4,17,67
2023-10-13,5,21,55
2023-10-14,3,13,72
2023-10-15,3,4,71
2023-10-16,9,15,83
2023-10-17,9,24,97
2023-10-18,5,13,78
2023-10-19,4,13,83
2023-10-20,26,18,66
2023-10-21,1,9,118
2023-10-22,1,6,78
2023-10-23,5,10,113
2023-10-24,13,13,87
2023-10-25,14,17,163
2023-10-26,8,11,75
2023-10-27,9,13,101
2023-10-28,12,5,61
2023-10-29,3,8,101
2023-10-30,4,18,114
2023-10-31,16,20,88
2023-11-01,16,18,47
2023-11-02,15,12,108
2023-11-03,9,17,53
2023-11-04,9,12,78
2023-11-05,4,4,34
2023-11-06,8,7,37
2023-11-07,3,14,63
2023-11-08,11,12,85
2023-11-09,11,17,49
2023-11-10,8,13,50
2023-11-11,3,2,38
2023-11-12,1,5,67
2023-11-13,3,13,73
2023-11-14,12,15,58
2023-11-15,7,19,90
2023-11-16,9,11,115
2023-11-17,14,15,75
2023-11-18,3,8,48
2023-11-19,6,11,65
2023-11-20,4,8,82
2023-11-21,9,8,93
2023-11-22,8,13,103
2023-11-23,8,4,77
2023-11-24,3,4,98
2023-11-25,10,9,116
2023-11-26,3,3,96
2023-11-27,5,25,75
2023-11-28,4,10,101
2023-11-29,2,6,81
2023-11-30,1,12,69
2023-12-01,2,16,70
2023-12-02,1,4,88
2023-12-03,1,13,55
2023-12-04,6,21,121
2023-12-05,15,18,122
2023-12-06,12,11,74
2023-12-07,16,21,76
2023-12-08,9,13,136
2023-12-09,3,7,55
2023-12-10,2,10,76
2023-12-11,12,14,84
2023-12-12,5,18,121
2023-12-13,8,21,62
2023-12-14,8,24,88
2023-12-15,7,12,115
2023-12-16,0,6,57
2023-12-17,0,7,39
2023-12-18,6,10,139
2023-12-19,8,11,96
2023-12-20,9,12,68
2023-12-21,9,17,55
2023-12-22,6,12,64
2023-12-23,7,7,93
2023-12-24,0,11,46
2023-12-25,4,3,28
2023-12-26,0,10,60
2023-12-27,3,13,39
2023-12-28,5,9,62
2023-12-29,2,2,53
2023-12-30,5,3,51
2023-12-31,1,2,45
2024-01-01,0,6,33
2024-01-02,8,11,63
2024-01-03,8,10,99
2024-01-04,5,6,129
2024-01-05,9,12,121
2024-01-06,16,12,87
2024-01-07,10,2,110
2024-01-08,18,18,93
2024-01-09,5,21,119
2024-01-10,6,25,73
2024-01-11,15,12,118
2024-01-12,7,24,70
2024-01-13,11,7,71
2024-01-14,9,5,75
2024-01-15,3,10,67
2024-01-16,12,30,90
2024-01-17,6,18,71
2024-01-18,11,20,98
2024-01-19,9,6,131
2024-01-20,6,10,81
2024-01-21,2,11,80
2024-01-22,7,20,122
2024-01-23,7,20,87
2024-01-24,9,11,57
2024-01-25,7,13,85
2024-01-26,4,25,117
2024-01-27,6,13,57
2024-01-28,4,4,50
2024-01-29,11,22,71
2024-01-30,19,18,114
2024-01-31,18,16,81
2024-02-01,12,23,33
2024-02-02,5,19,52
2024-02-03,4,12,42
2024-02-04,3,14,54
2024-02-05,9,16,80
2024-02-06,11,16,83
2024-02-07,14,9,91
2024-02-08,23,5,122
2024-02-09,6,10,161
2024-02-10,23,13,86
2024-02-11,12,16,113
2024-02-12,13,22,141
2024-02-13,19,16,151
2024-02-14,8,22,100
2024-02-15,10,26,107
2024-02-16,13,19,114
2024-02-17,9,20,119
2024-02-18,4,5,87
2024-02-19,4,16,128
2024-02-20,12,26,120
2024-02-21,10,17,125
2024-02-22,6,12,115
2024-02-23,10,14,93
2024-02-24,0,5,73
2024-02-25,3,15,94
2024-02-26,12,22,126
2024-02-27,8,5,134
2024-02-28,3,28,109
2024-02-29,8,22,161
2024-03-01,8,23,120
2024-03-02,2,5,73
2024-03-03,5,6,87
2024-03-04,9,18,117
2024-03-05,8,22,162
2024-03-06,5,16,127
2024-03-07,3,17,105
2024-03-08,8,12,110
2024-03-09,10,6,114
2024-03-10,3,4,112
2024-03-11,14,22,137
2024-03-12,9,22,126
2024-03-13,6,28,107
2024-03-14,9,25,160
2024-03-15,4,15,91
2024-03-16,0,12,77
2024-03-17,2,7,117
2024-03-18,2,25,111
2024-03-19,4,27,124
2024-03-20,6,12,98
2024-03-21,3,18,126
2024-03-22,6,13,165
2024-03-23,6,4,114
2024-03-24,0,6,109
2024-03-25,3,9,112
2024-03-26,8,16,98
2024-03-27,10,8,123
2024-03-28,7,18,85
2024-03-29,6,17,59
2024-03-30,2,0,64
2024-03-31,1,5,77
2024-04-01,4,9,81
2024-04-02,5,13,83
2024-04-03,7,20,109
2024-04-04,7,14,103
2024-04-05,8,8,87
2024-04-06,5,2,95
2024-04-07,3,4,55
2024-04-08,5,16,115
2024-04-09,6,16,86
2024-04-10,4,10,96
2024-04-11,5,19,118
2024-04-12,2,24,83
2024-04-13,4,7,56
2024-04-14,3,9,91
2024-04-15,5,18,144
2024-04-16,11,20,177
2024-04-17,3,29,105
2024-04-18,6,15,77
2024-04-19,4,21,99
2024-04-20,8,1,98
2024-04-21,1,7,70
2024-04-22,8,11,78
2024-04-23,10,14,90
2024-04-24,5,20,97
2024-04-25,10,14,82
2024-04-26,10,11,62
2024-04-27,2,4,66
2024-04-28,2,6,73
2024-04-29,6,22,87
2024-04-30,10,24,78
2024-05-01,4,25,42
2024-05-02,15,20,115
2024-05-03,4,24,100
2024-05-04,2,14,139
2024-05-05,2,21,75
2024-05-06,5,40,82
2024-05-07,12,40,41
2024-05-08,5,19,80
2024-05-09,10,18,78
2024-05-10,10,21,80
2024-05-11,1,4,125
2024-05-12,2,2,84
2024-05-13,13,8,81
2024-05-14,4,7,78
2024-05-15,5,6,83
2024-05-16,11,8,66
2024-05-17,7,4,72
2024-05-18,2,7,59
2024-05-19,2,7,79
2024-05-20,8,28,130
2024-05-21,6,24,92
2024-05-22,7,26,88
2024-05-23,7,10,123
2024-05-24,10,9,92
2024-05-25,6,9,58
2024-05-26,2,6,50
2024-05-27,3,13,77
2024-05-28,5,18,86
2024-05-29,12,23,111
2024-05-30,7,16,76
2024-05-31,9,22,53
2024-06-01,0,10,46
2024-06-02,0,7,50
2024-06-03,2,27,70
2024-06-04,10,27,129
2024-06-05,18,8,147
2024-06-06,4,10,95
2024-06-07,7,18,123
2024-06-08,10,7,66
2024-06-09,5,0,95
2024-06-10,11,8,63
2024-06-11,6,14,133
2024-06-12,6,18,136
2024-06-13,8,13,143
2024-06-14,9,9,87
2024-06-15,3,10,64
