,freecodecamp/freecodecamp,exercism/exercism,ossu/computer-science
2023-10-26,10,0,0
2023-10-27,9,0,0
2023-10-28,2,0,1
2023-10-29,0,0,1
2023-10-30,3,0,1
2023-10-31,10,0,0
2023-11-01,11,0,1
2023-11-02,3,0,0
2023-11-03,6,0,5
2023-11-04,3,0,0
2023-11-05,1,0,0
2023-11-06,9,0,0
2023-11-07,4,0,0
2023-11-08,18,0,0
2023-11-09,6,0,1
2023-11-10,5,0,0
2023-11-11,1,0,0
2023-11-12,4,0,0
2023-11-13,5,0,0
2023-11-14,5,0,0
2023-11-15,6,0,0
2023-11-16,4,0,0
2023-11-17,2,0,0
2023-11-18,0,0,0
2023-11-19,0,0,0
2023-11-20,6,0,0
2023-11-21,7,0,0
2023-11-22,5,0,0
2023-11-23,1,0,0
2023-11-24,2,0,0
2023-11-25,0,0,0
2023-11-26,0,0,0
2023-11-27,0,0,0
2023-11-28,7,0,0
2023-11-29,5,0,0
2023-11-30,4,0,0
2023-12-01,2,0,0
2023-12-02,1,0,0
2023-12-03,0,0,0
2023-12-04,4,0,0
2023-12-05,1,0,0
2023-12-06,16,0,0
2023-12-07,1,0,0
2023-12-08,2,0,0
2023-12-09,0,0,0
2023-12-10,1,0,0
2023-12-11,3,0,0
2023-12-12,2,0,1
2023-12-13,6,0,0
2023-12-14,2,0,0
2023-12-15,10,0,0
2023-12-16,1,0,0
2023-12-17,2,0,0
2023-12-18,9,0,0
2023-12-19,33,0,0
2023-12-20,33,0,0
2023-12-21,9,0,0
2023-12-22,7,0,0
2023-12-23,6,0,0
2023-12-24,2,0,0
2023-12-25,3,0,0
2023-12-26,3,0,0
2023-12-27,16,0,0
2023-12-28,7,0,0
2023-12-29,5,0,0
2023-12-30,6,0,0
2023-12-31,6,0,0
2024-01-01,5,0,1
2024-01-02,11,0,0
2024-01-03,9,0,0
2024-01-04,16,0,0
2024-01-05,11,0,0
2024-01-06,6,0,0
2024-01-07,3,0,0
2024-01-08,17,0,0
2024-01-09,16,0,0
2024-01-10,18,0,1
2024-01-11,10,0,0
2024-01-12,7,0,0
2024-01-13,3,0,0
2024-01-14,3,0,0
2024-01-15,3,0,0
2024-01-16,9,0,0
2024-01-17,9,0,0
2024-01-18,14,0,0
2024-01-19,11,0,0
2024-01-20,0,0,0
2024-01-21,7,0,0
2024-01-22,9,0,0
2024-01-23,9,0,0
2024-01-24,7,0,0
2024-01-25,4,0,0
2024-01-26,2,0,0
2024-01-27,8,0,0
2024-01-28,4,0,1
2024-01-29,7,0,0
2024-01-30,12,0,0
2024-01-31,7,0,0
2024-02-01,9,0,0
2024-02-02,9,0,0
2024-02-03,5,0,1
2024-02-04,10,0,0
2024-02-05,12,0,0
2024-02-06,10,0,0
2024-02-07,11,0,0
2024-02-08,9,0,0
2024-02-09,6,0,0
2024-02-10,1,0,0
2024-02-11,0,0,0
2024-02-12,9,0,0
2024-02-13,11,0,0
2024-02-14,7,0,0
2024-02-15,4,0,0
2024-02-16,11,0,0
2024-02-17,3,0,0
2024-02-18,1,0,1
2024-02-19,6,0,0
2024-02-20,11,0,0
2024-02-21,6,0,0
2024-02-22,2,0,0
2024-02-23,8,0,0
2024-02-24,1,0,0
2024-02-25,0,0,0
2024-02-26,11,0,0
2024-02-27,5,0,0
2024-02-28,12,0,0
2024-02-29,10,0,0
2024-03-01,6,1,0
2024-03-02,1,0,0
2024-03-03,0,0,0
2024-03-04,7,0,0
2024-03-05,11,0,0
2024-03-06,10,0,0
2024-03-07,5,0,0
2024-03-08,6,0,1
2024-03-09,1,0,0
2024-03-10,0,0,0
2024-03-11,8,0,2
2024-03-12,9,0,0
2024-03-13,4,0,0
2024-03-14,11,0,0
2024-03-15,8,0,0
2024-03-16,0,0,0
2024-03-17,0,0,0
2024-03-18,5,0,0
2024-03-19,5,0,0
2024-03-20,5,0,0
2024-03-21,6,0,0
2024-03-22,6,0,0
2024-03-23,0,0,0
2024-03-24,0,0,0
2024-03-25,5,0,0
2024-03-26,10,0,1
2024-03-27,3,0,0
2024-03-28,8,0,0
2024-03-29,5,0,0
2024-03-30,0,0,1
2024-03-31,0,0,1
2024-04-01,6,0,1
2024-04-02,5,0,2
2024-04-03,14,0,1
2024-04-04,7,0,0
2024-04-05,8,0,0
2024-04-06,0,0,0
2024-04-07,0,0,0
2024-04-08,7,0,2
2024-04-09,5,0,0
2024-04-10,2,0,0
2024-04-11,7,0,0
2024-04-12,10,0,0
2024-04-13,0,0,0
2024-04-14,2,0,0
2024-04-15,11,0,0
2024-04-16,7,0,0
2024-04-17,7,0,0
2024-04-18,10,0,0
2024-04-19,1,0,0
2024-04-20,1,0,0
2024-04-21,3,0,0
2024-04-22,12,0,0
2024-04-23,5,0,0
2024-04-24,9,0,0
2024-04-25,18,0,0
2024-04-26,12,0,0
2024-04-27,1,0,0
2024-04-28,0,0,0
2024-04-29,9,0,0
2024-04-30,6,0,0
2024-05-01,3,0,0
2024-05-02,12,0,0
2024-05-03,9,0,0
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,13,0,0
2024-05-07,18,0,0
2024-05-08,13,0,0
2024-05-09,5,0,0
2024-05-10,3,0,0
2024-05-11,0,0,0
2024-05-12,0,0,0
2024-05-13,10,0,0
2024-05-14,14,0,0
2024-05-15,19,0,0
2024-05-16,11,0,0
2024-05-17,5,0,0
2024-05-18,2,0,0
2024-05-19,0,0,0
2024-05-20,11,0,0
2024-05-21,18,0,0
2024-05-22,16,0,1
2024-05-23,12,0,0
2024-05-24,13,0,0
2024-05-25,7,0,0
2024-05-26,1,0,0
2024-05-27,1,0,0
2024-05-28,7,0,0
2024-05-29,9,0,0
2024-05-30,6,0,0
2024-05-31,10,0,0
2024-06-01,0,0,0
2024-06-02,1,0,0
2024-06-03,18,0,0
2024-06-04,5,0,0
2024-06-05,5,0,0
2024-06-06,8,0,0
2024-06-07,7,0,0
2024-06-08,3,0,0
2024-06-09,0,0,0
2024-06-10,10,0,0
2024-06-11,6,0,0
2024-06-12,8,0,0
2024-06-13,9,0,2
2024-06-14,7,0,0
2024-06-15,3,0,0
2024-06-16,0,0,0
2024-06-17,13,0,0
2024-06-18,4,0,0
2024-06-19,5,0,0
2024-06-20,13,0,0
2024-06-21,15,0,0
2024-06-22,3,0,0
2024-06-23,1,0,0
2024-06-24,15,0,0
2024-06-25,6,0,0
2024-06-26,12,0,0
2024-06-27,10,0,0
2024-06-28,4,0,0
2024-06-29,0,0,0
2024-06-30,1,0,0
2024-07-01,9,0,0
2024-07-02,10,0,0
2024-07-03,5,0,0
2024-07-04,5,0,0
2024-07-05,3,0,0
2024-07-06,2,0,0
2024-07-07,0,0,1
2024-07-08,13,0,0
2024-07-09,6,0,0
2024-07-10,7,0,1
2024-07-11,6,0,0
2024-07-12,7,0,0
