,denoland/deno,oven-sh/bun,nodejs/node
2022-05-24,1,0,6
2022-05-25,2,0,6
2022-05-26,3,0,2
2022-05-27,2,0,3
2022-05-28,0,0,1
2022-05-29,0,0,4
2022-05-30,6,4,4
2022-05-31,1,0,3
2022-06-01,3,0,6
2022-06-02,5,0,8
2022-06-03,2,0,5
2022-06-04,0,0,4
2022-06-05,2,0,7
2022-06-06,3,0,3
2022-06-07,2,0,3
2022-06-08,9,7,1
2022-06-09,3,4,4
2022-06-10,0,8,1
2022-06-11,2,7,26
2022-06-12,0,2,8
2022-06-13,9,1,6
2022-06-14,4,0,8
2022-06-15,9,2,10
2022-06-16,5,4,12
2022-06-17,3,1,12
2022-06-18,2,0,8
2022-06-19,4,0,9
2022-06-20,9,1,5
2022-06-21,4,0,3
2022-06-22,3,44,10
2022-06-23,4,22,2
2022-06-24,2,1,0
2022-06-25,3,4,7
2022-06-26,1,1,1
2022-06-27,4,13,6
2022-06-28,6,0,5
2022-06-29,7,10,8
2022-06-30,8,2,8
2022-07-01,5,17,5
2022-07-02,2,21,5
2022-07-03,1,2,7
2022-07-04,12,34,6
2022-07-05,6,33,3
2022-07-06,2,19,1
2022-07-07,2,38,14
2022-07-08,2,14,10
2022-07-09,4,20,14
2022-07-10,0,20,6
2022-07-11,11,37,14
2022-07-12,8,20,10
2022-07-13,10,19,11
2022-07-14,9,5,14
2022-07-15,3,11,13
2022-07-16,0,5,3
2022-07-17,0,13,7
2022-07-18,12,7,11
2022-07-19,5,2,3
2022-07-20,11,6,6
2022-07-21,4,4,7
2022-07-22,5,23,3
2022-07-23,2,8,7
2022-07-24,4,12,25
2022-07-25,0,45,13
2022-07-26,1,21,14
2022-07-27,4,9,5
2022-07-28,3,32,8
2022-07-29,3,5,5
2022-07-30,4,6,5
2022-07-31,1,11,11
2022-08-01,4,3,4
2022-08-02,2,3,9
2022-08-03,3,3,10
2022-08-04,6,21,14
2022-08-05,5,20,7
2022-08-06,1,9,6
2022-08-07,0,5,10
2022-08-08,2,13,8
2022-08-09,3,19,4
2022-08-10,10,7,6
2022-08-11,7,14,5
2022-08-12,2,9,10
2022-08-13,0,5,2
2022-08-14,1,7,8
2022-08-15,3,3,4
2022-08-16,1,0,8
2022-08-17,3,7,7
2022-08-18,1,14,4
2022-08-19,6,15,5
2022-08-20,2,7,6
2022-08-21,7,15,6
2022-08-22,4,20,6
2022-08-23,9,2,8
2022-08-24,11,2,10
2022-08-25,2,0,7
2022-08-26,6,8,3
2022-08-27,5,9,8
2022-08-28,1,5,9
2022-08-29,7,10,6
2022-08-30,8,0,7
2022-08-31,1,1,10
2022-09-01,13,7,11
2022-09-02,11,5,6
2022-09-03,4,4,2
2022-09-04,1,10,6
2022-09-05,6,4,5
2022-09-06,6,18,4
2022-09-07,10,10,4
2022-09-08,4,11,6
2022-09-09,3,4,3
2022-09-10,4,8,5
2022-09-11,2,5,9
2022-09-12,4,2,7
2022-09-13,4,0,11
2022-09-14,3,2,11
2022-09-15,5,8,10
2022-09-16,2,5,3
2022-09-17,5,11,7
2022-09-18,1,14,8
2022-09-19,7,3,3
2022-09-20,2,9,4
2022-09-21,1,6,5
2022-09-22,14,9,3
2022-09-23,4,6,11
2022-09-24,1,0,2
2022-09-25,0,9,7
2022-09-26,7,1,7
2022-09-27,10,7,13
2022-09-28,14,9,6
2022-09-29,6,15,14
2022-09-30,3,21,2
2022-10-01,4,15,0
2022-10-02,2,4,10
2022-10-03,9,6,9
2022-10-04,8,0,10
2022-10-05,5,2,5
2022-10-06,2,26,6
2022-10-07,8,2,8
2022-10-08,4,2,2
2022-10-09,2,22,5
2022-10-10,5,8,15
2022-10-11,0,18,31
2022-10-12,3,12,7
2022-10-13,3,33,9
2022-10-14,5,0,15
2022-10-15,11,17,5
2022-10-16,9,17,2
2022-10-17,10,28,7
2022-10-18,8,14,7
2022-10-19,5,15,13
2022-10-20,9,3,7
2022-10-21,9,6,7
2022-10-22,3,16,5
2022-10-23,2,0,2
2022-10-24,9,13,6
2022-10-25,14,3,9
2022-10-26,15,18,11
2022-10-27,7,10,17
2022-10-28,11,6,9
2022-10-29,1,6,4
2022-10-30,4,1,7
2022-10-31,6,0,9
2022-11-01,1,7,11
2022-11-02,8,13,1
2022-11-03,4,15,3
2022-11-04,1,7,8
2022-11-05,2,0,8
2022-11-06,2,11,8
2022-11-07,0,19,15
2022-11-08,6,27,6
2022-11-09,6,18,7
2022-11-10,8,18,7
2022-11-11,6,22,1
2022-11-12,3,1,10
2022-11-13,7,8,7
2022-11-14,0,6,5
2022-11-15,7,10,7
2022-11-16,7,16,4
2022-11-17,1,0,10
2022-11-18,7,1,10
2022-11-19,2,10,19
2022-11-20,1,30,7
2022-11-21,5,4,17
2022-11-22,7,16,8
2022-11-23,3,6,3
2022-11-24,6,28,6
2022-11-25,10,22,3
2022-11-26,9,15,10
2022-11-27,6,29,22
2022-11-28,6,13,4
2022-11-29,2,13,6
2022-11-30,8,5,8
2022-12-01,7,6,6
2022-12-02,9,33,6
2022-12-03,3,23,3
2022-12-04,1,25,5
2022-12-05,6,22,0
2022-12-06,7,7,1
2022-12-07,8,18,2
2022-12-08,4,9,6
2022-12-09,6,3,8
2022-12-10,1,8,6
2022-12-11,0,12,11
2022-12-12,2,10,10
2022-12-13,14,11,7
2022-12-14,5,10,5
2022-12-15,4,2,2
2022-12-16,8,17,18
2022-12-17,6,16,6
2022-12-18,2,5,4
2022-12-19,11,1,6
2022-12-20,11,2,8
2022-12-21,2,15,10
2022-12-22,3,5,5
2022-12-23,2,14,4
2022-12-24,0,0,9
2022-12-25,0,0,4
2022-12-26,3,3,0
2022-12-27,0,0,8
2022-12-28,3,12,9
2022-12-29,2,14,0
2022-12-30,1,8,0
2022-12-31,1,4,3
2023-01-01,0,12,16
2023-01-02,1,11,2
2023-01-03,8,9,6
2023-01-04,4,9,4
2023-01-05,3,16,0
2023-01-06,8,3,11
2023-01-07,2,4,10
2023-01-08,3,20,5
2023-01-09,3,20,3
2023-01-10,4,11,9
2023-01-11,8,15,6
2023-01-12,13,22,2
2023-01-13,19,18,7
2023-01-14,10,1,8
2023-01-15,14,5,6
2023-01-16,8,11,3
2023-01-17,1,26,9
2023-01-18,5,23,12
2023-01-19,5,10,14
2023-01-20,2,24,4
2023-01-21,1,10,8
2023-01-22,1,19,13
2023-01-23,5,22,1
2023-01-24,11,35,5
2023-01-25,9,14,7
2023-01-26,5,10,1
2023-01-27,3,19,4
2023-01-28,5,32,6
2023-01-29,3,10,8
2023-01-30,2,17,7
2023-01-31,1,12,7
2023-02-01,6,24,9
2023-02-02,4,9,10
2023-02-03,3,16,18
2023-02-04,2,8,4
2023-02-05,2,4,6
2023-02-06,4,6,15
2023-02-07,5,23,5
2023-02-08,4,3,6
2023-02-09,4,9,1
2023-02-10,11,13,3
2023-02-11,7,1,1
2023-02-12,5,10,6
2023-02-13,4,8,1
2023-02-14,6,2,4
2023-02-15,6,18,0
2023-02-16,7,11,13
2023-02-17,5,5,13
2023-02-18,0,12,23
2023-02-19,0,0,4
2023-02-20,7,4,21
2023-02-21,4,4,23
2023-02-22,15,9,12
2023-02-23,17,18,10
2023-02-24,6,20,13
2023-02-25,6,26,19
2023-02-26,5,12,14
2023-02-27,5,3,4
2023-02-28,4,16,11
2023-03-01,0,16,22
2023-03-02,2,17,8
2023-03-03,4,11,5
2023-03-04,3,9,1
2023-03-05,17,31,4
2023-03-06,4,6,7
2023-03-07,8,6,14
2023-03-08,11,16,9
2023-03-09,11,1,3
2023-03-10,7,0,6
2023-03-11,2,4,5
2023-03-12,0,1,2
2023-03-13,17,2,10
2023-03-14,12,16,6
2023-03-15,11,17,11
2023-03-16,21,12,3
2023-03-17,8,1,4
2023-03-18,16,12,5
2023-03-19,6,4,7
2023-03-20,4,14,7
2023-03-21,15,6,3
2023-03-22,24,6,10
2023-03-23,13,4,8
2023-03-24,6,0,8
2023-03-25,7,0,7
2023-03-26,9,1,4
2023-03-27,8,1,3
2023-03-28,13,6,6
2023-03-29,4,4,12
2023-03-30,13,7,6
2023-03-31,7,4,26
2023-04-01,9,1,6
2023-04-02,5,2,2
2023-04-03,4,1,15
2023-04-04,5,7,14
2023-04-05,5,3,9
2023-04-06,10,17,7
2023-04-07,4,9,10
2023-04-08,2,5,3
2023-04-09,1,9,8
2023-04-10,0,3,12
2023-04-11,3,2,12
2023-04-12,13,2,2
2023-04-13,12,15,17
2023-04-14,9,14,8
2023-04-15,1,14,6
2023-04-16,4,9,4
2023-04-17,5,27,5
2023-04-18,12,11,7
2023-04-19,11,2,9
2023-04-20,2,9,10
2023-04-21,5,12,5
2023-04-22,5,3,2
2023-04-23,5,1,11
2023-04-24,9,3,7
2023-04-25,7,8,6
2023-04-26,20,7,9
2023-04-27,16,20,6
2023-04-28,7,18,9
2023-04-29,2,8,4
2023-04-30,7,12,5
2023-05-01,12,19,7
2023-05-02,9,5,7
2023-05-03,6,13,12
2023-05-04,6,8,9
2023-05-05,1,10,9
2023-05-06,1,13,4
2023-05-07,4,10,12
2023-05-08,8,9,6
2023-05-09,4,20,7
2023-05-10,9,19,9
2023-05-11,11,25,6
2023-05-12,4,33,5
2023-05-13,4,0,7
2023-05-14,3,5,8
2023-05-15,5,21,9
2023-05-16,6,11,7
2023-05-17,9,12,8
2023-05-18,14,15,8
2023-05-19,7,11,8
2023-05-20,0,9,1
2023-05-21,5,37,8
2023-05-22,7,20,3
2023-05-23,8,16,14
2023-05-24,11,10,18
2023-05-25,3,9,13
2023-05-26,11,10,5
2023-05-27,2,4,5
2023-05-28,6,4,3
2023-05-29,2,5,10
2023-05-30,5,12,6
2023-05-31,8,10,4
2023-06-01,3,20,9
2023-06-02,9,13,6
2023-06-03,2,13,2
2023-06-04,0,1,3
2023-06-05,9,6,7
2023-06-06,11,3,6
2023-06-07,8,6,9
2023-06-08,12,0,3
2023-06-09,11,8,6
2023-06-10,2,12,1
2023-06-11,0,3,6
2023-06-12,5,1,8
2023-06-13,16,6,5
2023-06-14,12,8,6
2023-06-15,8,3,7
2023-06-16,3,1,2
2023-06-17,1,3,1
2023-06-18,0,3,3
2023-06-19,2,6,2
2023-06-20,0,5,17
2023-06-21,4,12,5
2023-06-22,3,3,8
2023-06-23,2,3,7
2023-06-24,7,5,10
2023-06-25,4,14,6
2023-06-26,6,14,3
2023-06-27,5,20,4
2023-06-28,6,12,5
2023-06-29,8,13,12
2023-06-30,5,7,1
2023-07-01,5,4,0
2023-07-02,10,16,2
2023-07-03,7,20,6
2023-07-04,8,15,6
2023-07-05,3,5,9
2023-07-06,3,11,4
2023-07-07,3,9,2
2023-07-08,2,8,2
2023-07-09,1,3,0
2023-07-10,5,9,3
2023-07-11,6,12,12
2023-07-12,1,14,12
2023-07-13,4,4,2
2023-07-14,4,3,4
2023-07-15,0,2,4
2023-07-16,0,0,6
2023-07-17,6,26,5
2023-07-18,5,14,7
2023-07-19,3,10,3
2023-07-20,5,19,9
2023-07-21,2,13,4
2023-07-22,2,9,3
2023-07-23,4,11,6
2023-07-24,3,3,4
2023-07-25,10,17,4
2023-07-26,8,7,9
2023-07-27,5,11,4
2023-07-28,6,24,1
2023-07-29,1,14,7
2023-07-30,3,11,0
2023-07-31,11,12,7
2023-08-01,11,6,5
2023-08-02,8,10,4
2023-08-03,6,16,4
2023-08-04,8,14,1
2023-08-05,5,9,3
2023-08-06,1,7,0
2023-08-07,1,10,0
2023-08-08,6,13,6
2023-08-09,5,14,11
2023-08-10,8,13,5
2023-08-11,3,6,11
2023-08-12,5,5,10
2023-08-13,1,1,9
2023-08-14,2,2,6
2023-08-15,7,5,17
2023-08-16,3,6,13
2023-08-17,8,11,12
2023-08-18,4,4,4
2023-08-19,2,9,4
2023-08-20,3,12,5
2023-08-21,3,15,4
2023-08-22,5,12,3
2023-08-23,2,7,6
2023-08-24,3,7,7
2023-08-25,7,28,2
2023-08-26,5,7,8
2023-08-27,6,2,3
2023-08-28,6,10,1
2023-08-29,9,7,7
2023-08-30,4,9,3
2023-08-31,3,7,13
2023-09-01,5,14,6
2023-09-02,2,10,2
2023-09-03,1,0,1
2023-09-04,4,4,6
2023-09-05,2,10,9
2023-09-06,5,12,8
2023-09-07,7,9,12
2023-09-08,8,17,7
2023-09-09,4,1,5
2023-09-10,2,12,8
2023-09-11,4,13,11
2023-09-12,8,19,5
2023-09-13,5,30,6
2023-09-14,11,33,10
2023-09-15,4,40,2
2023-09-16,5,11,4
2023-09-17,6,12,9
2023-09-18,12,16,9
2023-09-19,5,32,8
2023-09-20,5,21,5
2023-09-21,3,28,13
2023-09-22,4,13,5
2023-09-23,7,9,7
2023-09-24,8,6,6
2023-09-25,2,13,10
2023-09-26,13,6,4
2023-09-27,10,21,5
2023-09-28,2,14,9
2023-09-29,4,13,20
2023-09-30,4,3,15
2023-10-01,0,6,6
2023-10-02,4,6,2
2023-10-03,3,16,8
2023-10-04,5,3,14
2023-10-05,12,15,6
2023-10-06,5,2,10
2023-10-07,1,9,2
2023-10-08,5,0,11
2023-10-09,6,7,4
2023-10-10,6,8,37
2023-10-11,3,10,4
2023-10-12,6,10,13
2023-10-13,3,9,9
2023-10-14,0,8,5
2023-10-15,0,0,8
2023-10-16,2,20,6
2023-10-17,3,10,9
2023-10-18,0,9,20
2023-10-19,1,2,7
2023-10-20,1,15,16
2023-10-21,0,3,10
2023-10-22,1,2,7
2023-10-23,1,1,17
2023-10-24,4,3,11
2023-10-25,5,11,13
2023-10-26,3,3,11
2023-10-27,6,11,4
2023-10-28,5,2,5
2023-10-29,1,4,3
2023-10-30,5,11,7
2023-10-31,12,5,10
2023-11-01,17,2,8
2023-11-02,5,3,8
2023-11-03,1,6,6
2023-11-04,5,4,1
2023-11-05,8,2,1
2023-11-06,5,2,5
2023-11-07,5,25,5
2023-11-08,3,11,10
2023-11-09,4,4,2
2023-11-10,12,5,10
2023-11-11,4,5,13
2023-11-12,2,4,9
2023-11-13,12,8,8
2023-11-14,7,16,6
2023-11-15,5,5,6
2023-11-16,3,10,3
2023-11-17,12,19,12
2023-11-18,5,4,4
2023-11-19,2,3,9
2023-11-20,8,4,5
2023-11-21,2,2,19
2023-11-22,8,5,8
2023-11-23,9,5,5
2023-11-24,8,0,9
2023-11-25,5,11,4
2023-11-26,1,4,4
2023-11-27,10,1,22
2023-11-28,9,9,8
2023-11-29,6,3,12
2023-11-30,11,5,4
2023-12-01,9,11,1
2023-12-02,5,12,4
2023-12-03,4,0,7
2023-12-04,3,4,12
2023-12-05,4,5,13
2023-12-06,12,4,6
2023-12-07,7,9,3
2023-12-08,12,2,2
2023-12-09,1,3,3
2023-12-10,0,6,7
2023-12-11,13,3,4
2023-12-12,9,11,2
2023-12-13,12,6,2
2023-12-14,8,16,9
2023-12-15,6,7,5
2023-12-16,0,7,3
2023-12-17,3,3,3
2023-12-18,4,6,4
2023-12-19,4,11,11
2023-12-20,2,10,8
2023-12-21,2,7,16
2023-12-22,3,7,14
2023-12-23,2,2,10
2023-12-24,3,4,4
2023-12-25,2,3,6
2023-12-26,3,6,2
2023-12-27,5,4,3
2023-12-28,4,8,7
2023-12-29,3,17,14
2023-12-30,3,9,3
2023-12-31,3,5,1
2024-01-01,2,1,0
2024-01-02,9,2,3
2024-01-03,8,11,2
2024-01-04,8,6,23
2024-01-05,8,7,5
2024-01-06,7,8,2
2024-01-07,2,6,11
2024-01-08,7,8,8
2024-01-09,6,9,1
2024-01-10,7,2,3
2024-01-11,4,2,3
2024-01-12,4,14,5
2024-01-13,2,18,0
2024-01-14,10,8,5
2024-01-15,4,1,4
2024-01-16,6,25,0
2024-01-17,3,6,2
2024-01-18,6,11,3
2024-01-19,3,4,7
2024-01-20,1,16,3
2024-01-21,8,15,2
2024-01-22,5,8,5
2024-01-23,25,15,2
2024-01-24,34,19,5
2024-01-25,10,19,5
2024-01-26,10,13,1
2024-01-27,5,5,1
2024-01-28,1,3,0
2024-01-29,2,10,2
2024-01-30,7,7,2
2024-01-31,10,4,9
2024-02-01,11,21,7
2024-02-02,3,7,7
2024-02-03,1,10,5
2024-02-04,3,5,2
2024-02-05,10,6,2
2024-02-06,13,6,1
2024-02-07,18,12,0
2024-02-08,12,7,0
2024-02-09,6,12,0
2024-02-10,3,4,0
2024-02-11,1,2,1
2024-02-12,4,5,1
2024-02-13,9,6,1
2024-02-14,6,6,13
2024-02-15,4,15,7
2024-02-16,7,11,5
2024-02-17,1,9,3
2024-02-18,5,2,2
2024-02-19,7,9,2
2024-02-20,7,2,7
2024-02-21,13,6,4
2024-02-22,4,7,4
2024-02-23,15,13,7
2024-02-24,1,7,2
2024-02-25,0,6,12
2024-02-26,2,6,10
2024-02-27,5,5,8
2024-02-28,9,5,7
2024-02-29,12,9,4
2024-03-01,7,5,9
2024-03-02,2,12,5
2024-03-03,0,3,6
2024-03-04,6,12,3
2024-03-05,9,3,5
2024-03-06,18,11,3
2024-03-07,10,8,5
2024-03-08,18,5,6
2024-03-09,4,9,8
2024-03-10,7,1,4
2024-03-11,8,3,6
2024-03-12,7,2,5
2024-03-13,13,9,5
2024-03-14,11,4,6
2024-03-15,6,6,8
2024-03-16,4,12,11
2024-03-17,0,7,2
2024-03-18,3,5,7
2024-03-19,1,4,12
2024-03-20,0,0,6
2024-03-21,0,0,5
2024-03-22,0,0,3
2024-03-23,0,0,5
2024-03-24,0,0,0
2024-03-25,0,0,11
2024-03-26,0,0,6
2024-03-27,0,0,5
2024-03-28,0,0,1
2024-03-29,0,0,2
2024-03-30,0,0,2
2024-03-31,0,0,26
2024-04-01,0,0,0
2024-04-02,0,0,3
2024-04-03,0,0,12
2024-04-04,0,0,5
2024-04-05,0,0,6
2024-04-06,0,0,4
2024-04-07,0,0,5
2024-04-08,0,0,11
2024-04-09,0,0,2
2024-04-10,0,0,15
2024-04-11,0,0,7
2024-04-12,0,0,4
2024-04-13,0,0,7
2024-04-14,0,0,4
2024-04-15,0,0,8
2024-04-16,0,0,4
2024-04-17,0,0,12
2024-04-18,0,0,3
2024-04-19,0,0,21
2024-04-20,0,0,4
2024-04-21,0,0,8
2024-04-22,0,0,18
2024-04-23,0,0,6
2024-04-24,0,0,11
2024-04-25,0,0,5
2024-04-26,0,0,5
2024-04-27,0,0,0
2024-04-28,0,0,4
2024-04-29,0,0,6
2024-04-30,0,0,6
2024-05-01,0,0,5
2024-05-02,0,0,7
2024-05-03,0,0,3
2024-05-04,0,0,6
2024-05-05,0,0,12
2024-05-06,0,0,25
2024-05-07,0,0,6
2024-05-08,0,0,7
2024-05-09,0,0,12
2024-05-10,0,0,21
2024-05-11,0,0,16
2024-05-12,0,0,35
2024-05-13,0,0,5
2024-05-14,0,0,7
2024-05-15,0,0,3
2024-05-16,0,0,5
2024-05-17,0,0,3
2024-05-18,0,0,5
2024-05-19,0,0,4
2024-05-20,0,0,3
2024-05-21,0,0,6
2024-05-22,0,0,5
2024-05-23,0,0,9
2024-05-24,0,0,5
2024-05-25,0,0,9
2024-05-26,0,0,3
2024-05-27,0,0,6
2024-05-28,0,0,8
2024-05-29,0,0,5
2024-05-30,0,0,12
2024-05-31,0,0,2
2024-06-01,0,0,3
2024-06-02,0,0,9
2024-06-03,0,0,3
2024-06-04,0,0,9
2024-06-05,0,0,6
2024-06-06,0,0,6
2024-06-07,0,0,13
2024-06-08,0,0,5
2024-06-09,0,0,1
2024-06-10,0,0,8
2024-06-11,0,0,4
2024-06-12,0,0,3
2024-06-13,0,0,11
2024-06-14,0,0,11
2024-06-15,0,0,5
2024-06-16,0,0,4
2024-06-17,0,0,4
2024-06-18,0,0,11
