,ansible/ansible,cfengine/core,saltstack/salt
2020-09-29,6,0,47
2020-09-30,9,0,122
2020-10-01,7,0,50
2020-10-02,11,0,13
2020-10-03,0,0,2
2020-10-04,0,0,2
2020-10-05,3,1,78
2020-10-06,9,5,5
2020-10-07,4,8,65
2020-10-08,4,3,57
2020-10-09,4,5,2
2020-10-10,0,0,1
2020-10-11,1,0,0
2020-10-12,4,16,0
2020-10-13,3,10,12
2020-10-14,4,5,0
2020-10-15,3,1,0
2020-10-16,0,8,0
2020-10-17,0,0,3
2020-10-18,0,0,1
2020-10-19,5,2,9
2020-10-20,5,6,1
2020-10-21,0,6,0
2020-10-22,3,9,0
2020-10-23,5,20,0
2020-10-24,0,5,0
2020-10-25,0,0,0
2020-10-26,3,4,0
2020-10-27,7,1,0
2020-10-28,3,1,4
2020-10-29,1,0,3
2020-10-30,6,0,0
2020-10-31,1,0,0
2020-11-01,0,0,0
2020-11-02,6,2,0
2020-11-03,4,0,1
2020-11-04,10,2,4
2020-11-05,9,5,21
2020-11-06,3,1,3
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,11,0,20
2020-11-10,9,0,13
2020-11-11,3,5,7
2020-11-12,4,2,19
2020-11-13,2,4,2
2020-11-14,0,0,12
2020-11-15,0,0,0
2020-11-16,1,6,8
2020-11-17,6,1,0
2020-11-18,3,5,5
2020-11-19,5,8,0
2020-11-20,2,6,2
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,3,1,8
2020-11-24,0,3,16
2020-11-25,0,3,1
2020-11-26,0,5,0
2020-11-27,0,2,4
2020-11-28,0,0,0
2020-11-29,0,0,1
2020-11-30,5,5,15
2020-12-01,5,1,12
2020-12-02,6,0,5
2020-12-03,12,0,18
2020-12-04,4,0,9
2020-12-05,1,0,2
2020-12-06,0,0,12
2020-12-07,3,9,1
2020-12-08,10,8,0
2020-12-09,6,3,7
2020-12-10,2,5,63
2020-12-11,1,1,7
2020-12-12,0,0,1
2020-12-13,0,1,1
2020-12-14,3,1,3
2020-12-15,7,1,2
2020-12-16,2,6,21
2020-12-17,6,1,0
2020-12-18,9,1,1
2020-12-19,0,0,0
2020-12-20,0,1,0
2020-12-21,2,7,52
2020-12-22,1,3,0
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,0,0,0
2020-12-26,0,0,4
2020-12-27,0,0,0
2020-12-28,0,0,6
2020-12-29,0,1,0
2020-12-30,0,0,2
2020-12-31,0,0,1
2021-01-01,0,0,0
2021-01-02,0,0,3
2021-01-03,0,0,1
2021-01-04,4,3,6
2021-01-05,5,3,63
2021-01-06,7,2,5
2021-01-07,8,2,11
2021-01-08,6,5,35
2021-01-09,0,2,3
2021-01-10,0,0,1
2021-01-11,6,7,8
2021-01-12,1,3,14
2021-01-13,6,2,32
2021-01-14,10,4,0
2021-01-15,1,1,14
2021-01-16,0,0,0
2021-01-17,0,0,2
2021-01-18,5,1,0
2021-01-19,2,1,46
2021-01-20,4,3,2
2021-01-21,4,6,1
2021-01-22,5,0,37
2021-01-23,1,0,4
2021-01-24,0,0,0
2021-01-25,4,8,4
2021-01-26,4,1,0
2021-01-27,7,3,9
2021-01-28,9,4,0
2021-01-29,0,10,5
2021-01-30,0,0,3
2021-01-31,0,0,0
2021-02-01,5,8,189
2021-02-02,8,6,27
2021-02-03,2,2,74
2021-02-04,7,2,20
2021-02-05,7,2,14
2021-02-06,0,0,0
2021-02-07,0,0,0
2021-02-08,1,1,7
2021-02-09,8,3,32
2021-02-10,4,2,46
2021-02-11,7,2,119
2021-02-12,13,3,10
2021-02-13,3,0,3
2021-02-14,0,0,0
2021-02-15,1,2,2
2021-02-16,1,1,35
2021-02-17,2,0,9
2021-02-18,8,0,15
2021-02-19,0,1,43
2021-02-20,0,0,6
2021-02-21,0,0,2
2021-02-22,1,0,36
2021-02-23,7,0,16
2021-02-24,2,13,56
2021-02-25,4,0,26
2021-02-26,1,2,41
2021-02-27,0,0,8
2021-02-28,1,0,0
2021-03-01,8,7,171
2021-03-02,8,4,16
2021-03-03,9,0,21
2021-03-04,2,6,14
2021-03-05,2,1,68
2021-03-06,0,0,4
2021-03-07,0,0,0
2021-03-08,1,3,0
2021-03-09,1,2,0
2021-03-10,2,10,1
2021-03-11,11,14,0
2021-03-12,2,2,0
2021-03-13,2,0,0
2021-03-14,0,0,0
2021-03-15,4,4,0
2021-03-16,2,0,8
2021-03-17,5,0,16
2021-03-18,10,1,2
2021-03-19,2,5,18
2021-03-20,3,0,0
2021-03-21,0,0,0
2021-03-22,1,4,7
2021-03-23,7,9,0
2021-03-24,6,1,2
2021-03-25,10,5,9
2021-03-26,4,2,1
2021-03-27,1,2,0
2021-03-28,1,0,0
2021-03-29,3,8,2
2021-03-30,8,4,19
2021-03-31,1,5,10
2021-04-01,2,0,14
2021-04-02,0,1,23
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,4,1,13
2021-04-06,10,2,10
2021-04-07,2,9,8
2021-04-08,6,2,3
2021-04-09,1,0,1
2021-04-10,4,0,0
2021-04-11,1,0,1
2021-04-12,6,0,0
2021-04-13,17,8,9
2021-04-14,1,2,1
2021-04-15,11,9,6
2021-04-16,9,3,3
2021-04-17,2,2,0
2021-04-18,0,1,0
2021-04-19,4,8,0
2021-04-20,19,5,0
2021-04-21,8,0,26
2021-04-22,5,0,4
2021-04-23,8,0,0
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,6,1,3
2021-04-27,17,9,2
2021-04-28,15,2,6
2021-04-29,10,3,11
2021-04-30,7,1,12
2021-05-01,2,0,0
2021-05-02,0,0,0
2021-05-03,0,4,3
2021-05-04,11,3,3
2021-05-05,4,2,29
2021-05-06,16,10,4
2021-05-07,9,1,3
2021-05-08,1,0,0
2021-05-09,0,4,0
2021-05-10,6,3,0
2021-05-11,13,1,1
2021-05-12,6,11,9
2021-05-13,4,5,1
2021-05-14,7,3,1
2021-05-15,1,1,0
2021-05-16,0,0,0
2021-05-17,7,3,0
2021-05-18,9,4,1
2021-05-19,4,6,4
2021-05-20,2,11,0
2021-05-21,1,6,0
2021-05-22,0,0,0
2021-05-23,0,0,0
2021-05-24,6,2,1
2021-05-25,12,8,3
2021-05-26,4,11,6
2021-05-27,11,4,3
2021-05-28,0,11,5
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,2,11,4
2021-06-01,10,4,3
2021-06-02,2,3,9
2021-06-03,12,14,1
2021-06-04,8,11,4
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,3,1,0
2021-06-08,2,1,0
2021-06-09,4,2,3
2021-06-10,6,2,1
2021-06-11,5,3,0
2021-06-12,1,0,0
2021-06-13,0,0,0
2021-06-14,5,0,0
2021-06-15,3,1,2
2021-06-16,16,3,0
2021-06-17,4,3,0
2021-06-18,1,0,1
2021-06-19,1,0,0
2021-06-20,0,0,0
2021-06-21,3,0,4
2021-06-22,10,0,1
2021-06-23,6,14,7
2021-06-24,3,0,11
2021-06-25,3,1,3
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,1,2,22
2021-06-29,3,1,2
2021-06-30,2,1,24
2021-07-01,1,4,0
2021-07-02,0,2,0
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,0,6,0
2021-07-06,3,0,33
2021-07-07,1,0,12
2021-07-08,5,0,4
2021-07-09,3,0,11
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,1,1,4
2021-07-13,0,1,16
2021-07-14,3,1,5
2021-07-15,4,0,3
2021-07-16,0,0,2
2021-07-17,0,0,0
2021-07-18,0,0,0
2021-07-19,1,0,11
2021-07-20,1,1,13
2021-07-21,5,0,23
2021-07-22,0,2,1
2021-07-23,1,2,63
2021-07-24,0,0,0
2021-07-25,0,0,0
2021-07-26,1,2,6
2021-07-27,0,1,3
2021-07-28,1,5,2
2021-07-29,6,3,13
2021-07-30,3,2,3
2021-07-31,0,0,0
2021-08-01,1,0,0
2021-08-02,1,3,13
2021-08-03,4,2,8
2021-08-04,3,4,15
2021-08-05,5,3,0
2021-08-06,3,0,4
2021-08-07,0,0,9
2021-08-08,0,0,0
2021-08-09,4,2,2
2021-08-10,3,3,7
2021-08-11,7,1,9
2021-08-12,13,0,8
2021-08-13,0,1,0
2021-08-14,0,0,1
2021-08-15,0,0,0
2021-08-16,1,2,8
2021-08-17,1,3,14
2021-08-18,0,3,6
2021-08-19,4,1,32
2021-08-20,3,4,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,1,2,1
2021-08-24,4,0,74
2021-08-25,3,1,4
2021-08-26,2,2,23
2021-08-27,2,1,15
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,7,1,5
2021-08-31,2,0,0
2021-09-01,8,0,1
2021-09-02,3,1,1
2021-09-03,2,1,2
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,0,0,0
2021-09-07,1,0,0
2021-09-08,0,0,11
2021-09-09,4,0,1
2021-09-10,4,0,1
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,1,0,2
2021-09-14,5,0,1
2021-09-15,0,0,8
2021-09-16,5,2,0
2021-09-17,9,0,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,2,1,5
2021-09-21,8,0,50
2021-09-22,5,3,6
2021-09-23,7,0,18
2021-09-24,22,2,31
2021-09-25,0,0,8
2021-09-26,0,0,42
2021-09-27,3,1,10
2021-09-28,3,0,0
2021-09-29,1,1,0
2021-09-30,11,0,1
2021-10-01,3,0,0
2021-10-02,0,0,0
2021-10-03,0,0,0
2021-10-04,5,0,0
2021-10-05,3,4,3
2021-10-06,3,0,0
2021-10-07,6,4,0
2021-10-08,8,1,2
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,15,0,2
2021-10-12,11,0,1
2021-10-13,2,4,25
2021-10-14,13,2,2
2021-10-15,5,5,0
2021-10-16,0,0,0
2021-10-17,0,0,0
2021-10-18,5,0,0
2021-10-19,7,1,4
2021-10-20,2,4,10
2021-10-21,5,3,10
2021-10-22,0,1,33
2021-10-23,0,0,0
2021-10-24,0,0,0
2021-10-25,3,4,1
2021-10-26,5,8,1
2021-10-27,6,2,0
2021-10-28,2,4,4
2021-10-29,8,0,2
2021-10-30,0,0,0
2021-10-31,0,0,0
2021-11-01,7,0,0
2021-11-02,6,0,2
2021-11-03,3,1,1
2021-11-04,6,1,1
2021-11-05,1,2,0
2021-11-06,0,0,0
2021-11-07,0,0,0
2021-11-08,4,0,1
2021-11-09,7,0,19
2021-11-10,1,1,5
2021-11-11,5,1,3
2021-11-12,2,2,1
2021-11-13,1,0,0
2021-11-14,0,0,0
2021-11-15,5,0,5
2021-11-16,3,3,1
2021-11-17,2,0,2
2021-11-18,2,1,2
2021-11-19,3,6,0
2021-11-20,2,0,2
2021-11-21,0,0,0
2021-11-22,3,5,2
2021-11-23,1,0,3
2021-11-24,0,6,2
2021-11-25,0,1,0
2021-11-26,0,1,0
2021-11-27,0,0,0
2021-11-28,0,0,0
2021-11-29,2,0,2
2021-11-30,4,1,1
2021-12-01,2,2,3
2021-12-02,10,1,6
2021-12-03,0,1,1
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,2,2,0
2021-12-07,4,0,8
2021-12-08,6,0,13
2021-12-09,8,0,1
2021-12-10,6,1,2
2021-12-11,0,0,1
2021-12-12,0,0,0
2021-12-13,2,0,29
2021-12-14,10,0,13
2021-12-15,0,2,5
2021-12-16,0,0,28
2021-12-17,1,1,1
2021-12-18,0,0,0
2021-12-19,0,0,0
2021-12-20,6,0,0
2021-12-21,2,0,8
2021-12-22,1,0,3
2021-12-23,3,0,0
2021-12-24,0,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,0
2021-12-28,0,0,0
2021-12-29,1,1,0
2021-12-30,0,0,0
2021-12-31,0,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,0,1,0
2022-01-04,3,1,4
2022-01-05,4,1,0
2022-01-06,5,1,10
2022-01-07,12,7,0
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,5,1,10
2022-01-11,8,0,8
2022-01-12,6,1,1
2022-01-13,5,2,64
2022-01-14,2,2,8
2022-01-15,0,0,3
2022-01-16,0,0,0
2022-01-17,0,0,5
2022-01-18,6,3,9
2022-01-19,2,1,19
2022-01-20,2,0,15
2022-01-21,7,2,16
2022-01-22,0,0,0
2022-01-23,0,0,0
2022-01-24,4,1,0
2022-01-25,3,0,5
2022-01-26,9,5,6
2022-01-27,4,1,4
2022-01-28,5,0,5
2022-01-29,0,0,0
2022-01-30,0,0,0
2022-01-31,5,0,8
2022-02-01,4,0,6
2022-02-02,1,0,12
2022-02-03,18,0,5
2022-02-04,3,0,23
2022-02-05,0,0,0
2022-02-06,0,0,0
2022-02-07,9,1,7
2022-02-08,6,3,49
2022-02-09,2,1,10
2022-02-10,2,2,10
2022-02-11,5,0,9
2022-02-12,0,0,1
2022-02-13,0,0,1
2022-02-14,3,0,0
2022-02-15,3,2,13
2022-02-16,2,1,5
2022-02-17,8,0,0
2022-02-18,4,0,10
2022-02-19,0,0,0
2022-02-20,0,0,4
2022-02-21,1,2,0
2022-02-22,7,1,7
2022-02-23,11,1,31
2022-02-24,8,0,16
2022-02-25,2,1,17
2022-02-26,0,0,0
2022-02-27,0,0,4
2022-02-28,8,1,7
2022-03-01,2,0,3
2022-03-02,6,0,11
2022-03-03,6,6,0
2022-03-04,5,0,1
2022-03-05,1,0,0
2022-03-06,0,0,0
2022-03-07,5,6,7
2022-03-08,5,9,21
2022-03-09,5,2,6
2022-03-10,3,0,2
2022-03-11,3,1,1
2022-03-12,0,0,0
2022-03-13,0,0,0
2022-03-14,1,6,0
2022-03-15,1,1,2
2022-03-16,1,0,13
2022-03-17,6,1,5
2022-03-18,0,0,9
2022-03-19,0,0,0
2022-03-20,0,0,0
2022-03-21,2,0,5
2022-03-22,2,0,11
2022-03-23,6,5,8
2022-03-24,9,0,0
2022-03-25,2,3,1
2022-03-26,1,0,0
2022-03-27,0,0,0
2022-03-28,7,2,5
2022-03-29,4,0,1
2022-03-30,5,1,5
2022-03-31,12,2,0
2022-04-01,4,11,0
2022-04-02,0,0,0
2022-04-03,0,0,0
2022-04-04,2,0,0
2022-04-05,5,0,1
2022-04-06,5,0,11
2022-04-07,6,0,34
2022-04-08,2,0,18
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,4,0,19
2022-04-12,2,1,40
2022-04-13,4,0,0
2022-04-14,12,0,0
2022-04-15,1,0,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,4,0,21
2022-04-19,3,0,7
2022-04-20,1,0,0
2022-04-21,6,1,2
2022-04-22,1,3,0
2022-04-23,0,0,0
2022-04-24,0,0,0
2022-04-25,7,1,0
2022-04-26,4,0,0
2022-04-27,7,0,0
2022-04-28,9,0,4
2022-04-29,7,0,0
2022-04-30,1,0,0
2022-05-01,0,0,0
2022-05-02,0,2,0
2022-05-03,2,1,5
2022-05-04,5,0,0
2022-05-05,6,0,7
2022-05-06,2,0,0
2022-05-07,0,0,0
2022-05-08,0,0,0
2022-05-09,2,1,0
2022-05-10,2,0,1
2022-05-11,7,0,0
2022-05-12,2,0,1
2022-05-13,2,0,24
2022-05-14,0,0,0
2022-05-15,0,0,0
2022-05-16,1,0,0
2022-05-17,10,0,1
2022-05-18,10,0,8
2022-05-19,5,0,12
2022-05-20,0,1,92
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,4,0,9
2022-05-24,3,0,31
2022-05-25,7,0,13
2022-05-26,9,2,15
2022-05-27,3,5,0
2022-05-28,0,0,1
2022-05-29,0,0,0
2022-05-30,0,1,0
2022-05-31,4,1,3
2022-06-01,5,2,16
2022-06-02,8,3,44
2022-06-03,2,1,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,8,1,1
2022-06-07,14,0,2
2022-06-08,8,0,3
2022-06-09,7,5,17
2022-06-10,1,4,5
2022-06-11,0,0,0
2022-06-12,0,0,1
2022-06-13,2,7,11
2022-06-14,1,0,10
2022-06-15,3,3,6
2022-06-16,8,0,5
2022-06-17,3,2,6
2022-06-18,3,0,6
2022-06-19,0,0,0
2022-06-20,0,0,0
2022-06-21,5,0,5
2022-06-22,1,2,5
2022-06-23,7,0,11
2022-06-24,3,0,2
2022-06-25,0,0,0
2022-06-26,0,0,0
2022-06-27,1,3,4
2022-06-28,3,2,11
2022-06-29,3,0,4
2022-06-30,9,0,13
2022-07-01,3,0,0
2022-07-02,0,0,0
2022-07-03,0,0,3
2022-07-04,0,2,0
2022-07-05,1,0,20
2022-07-06,0,0,9
2022-07-07,2,0,0
2022-07-08,0,0,7
2022-07-09,0,0,0
2022-07-10,0,0,1
2022-07-11,2,0,3
2022-07-12,9,0,4
2022-07-13,9,0,3
2022-07-14,4,0,5
2022-07-15,3,0,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,2,1,2
2022-07-19,9,1,14
2022-07-20,7,5,7
2022-07-21,8,0,4
2022-07-22,0,0,11
2022-07-23,0,0,2
2022-07-24,0,0,0
2022-07-25,0,0,5
2022-07-26,3,1,6
2022-07-27,4,2,4
2022-07-28,11,2,8
2022-07-29,1,11,1
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,1,4,6
2022-08-02,8,4,13
2022-08-03,4,0,5
2022-08-04,12,6,6
2022-08-05,2,0,1
2022-08-06,0,0,1
2022-08-07,0,0,0
2022-08-08,1,5,27
2022-08-09,3,6,2
2022-08-10,3,3,5
2022-08-11,23,1,2
2022-08-12,0,0,2
2022-08-13,0,0,0
2022-08-14,0,0,0
2022-08-15,3,4,1
2022-08-16,6,1,3
2022-08-17,8,1,13
2022-08-18,5,2,10
2022-08-19,4,1,5
2022-08-20,1,0,0
2022-08-21,0,0,0
2022-08-22,3,0,18
2022-08-23,2,0,7
2022-08-24,2,0,0
2022-08-25,6,0,3
2022-08-26,0,0,12
2022-08-27,0,0,0
2022-08-28,0,0,2
2022-08-29,2,0,7
2022-08-30,3,1,1
2022-08-31,1,1,8
2022-09-01,5,0,13
2022-09-02,2,1,12
2022-09-03,0,0,0
2022-09-04,0,0,0
2022-09-05,1,1,0
2022-09-06,6,2,7
2022-09-07,4,0,13
2022-09-08,7,0,8
2022-09-09,1,4,1
2022-09-10,0,0,2
2022-09-11,0,0,1
2022-09-12,1,0,14
2022-09-13,4,4,3
2022-09-14,5,2,12
2022-09-15,13,2,15
2022-09-16,2,0,3
2022-09-17,0,0,0
2022-09-18,0,0,1
2022-09-19,6,1,27
2022-09-20,5,8,22
2022-09-21,8,1,29
2022-09-22,2,2,34
2022-09-23,1,2,3
2022-09-24,0,0,1
2022-09-25,0,0,2
2022-09-26,3,1,38
2022-09-27,7,1,27
2022-09-28,6,1,23
2022-09-29,7,0,14
2022-09-30,4,0,31
2022-10-01,7,0,5
2022-10-02,0,0,0
2022-10-03,14,0,49
2022-10-04,10,0,15
2022-10-05,8,0,34
2022-10-06,5,0,44
2022-10-07,4,1,14
2022-10-08,0,0,5
2022-10-09,1,0,1
2022-10-10,5,1,23
2022-10-11,5,0,27
2022-10-12,3,0,24
2022-10-13,3,0,25
2022-10-14,4,0,10
2022-10-15,0,0,7
2022-10-16,0,0,3
2022-10-17,2,1,29
2022-10-18,1,0,16
2022-10-19,1,1,11
2022-10-20,11,0,23
2022-10-21,0,0,21
2022-10-22,0,0,6
2022-10-23,0,0,0
2022-10-24,4,0,11
2022-10-25,6,3,7
2022-10-26,5,4,13
2022-10-27,7,0,20
2022-10-28,1,0,17
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,0,4,14
2022-11-01,9,5,31
2022-11-02,4,0,10
2022-11-03,4,0,12
2022-11-04,1,0,30
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,3,2,12
2022-11-08,7,3,21
2022-11-09,3,2,20
2022-11-10,4,1,7
2022-11-11,1,2,0
2022-11-12,0,0,1
2022-11-13,0,0,3
2022-11-14,1,4,6
2022-11-15,5,1,5
2022-11-16,0,1,14
2022-11-17,10,1,4
2022-11-18,1,1,29
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,1,2,7
2022-11-22,4,1,6
2022-11-23,3,0,1
2022-11-24,0,0,0
2022-11-25,0,0,0
2022-11-26,0,0,0
2022-11-27,0,0,0
2022-11-28,3,0,7
2022-11-29,10,0,30
2022-11-30,1,0,45
2022-12-01,2,0,6
2022-12-02,0,4,50
2022-12-03,0,0,0
2022-12-04,0,0,0
2022-12-05,4,1,24
2022-12-06,3,3,63
2022-12-07,1,0,35
2022-12-08,7,1,27
2022-12-09,2,0,32
2022-12-10,0,0,1
2022-12-11,0,0,0
2022-12-12,3,0,10
2022-12-13,3,1,2
2022-12-14,2,1,94
2022-12-15,2,8,5
2022-12-16,1,0,7
2022-12-17,1,0,1
2022-12-18,0,0,0
2022-12-19,0,0,1
2022-12-20,0,7,20
2022-12-21,0,0,12
2022-12-22,0,4,53
2022-12-23,0,0,8
2022-12-24,0,0,0
2022-12-25,0,0,5
2022-12-26,0,0,1
2022-12-27,1,0,1
2022-12-28,0,0,4
2022-12-29,0,2,3
2022-12-30,0,0,4
2022-12-31,0,0,1
2023-01-01,0,0,0
2023-01-02,0,1,0
2023-01-03,2,8,14
2023-01-04,3,2,9
2023-01-05,3,3,14
2023-01-06,2,1,16
2023-01-07,1,0,4
2023-01-08,0,0,2
2023-01-09,5,1,8
2023-01-10,7,0,13
2023-01-11,3,2,21
2023-01-12,4,2,7
2023-01-13,1,2,7
2023-01-14,0,0,1
2023-01-15,0,0,0
2023-01-16,1,0,2
2023-01-17,3,0,4
2023-01-18,1,1,19
2023-01-19,6,2,1
2023-01-20,2,0,2
2023-01-21,0,0,34
2023-01-22,0,0,0
2023-01-23,2,2,2
2023-01-24,4,1,4
2023-01-25,10,1,73
2023-01-26,8,0,13
2023-01-27,0,1,26
2023-01-28,0,0,0
2023-01-29,0,0,3
2023-01-30,6,2,12
2023-01-31,3,0,14
2023-02-01,3,0,5
2023-02-02,11,0,31
2023-02-03,13,1,2
2023-02-04,1,0,16
2023-02-05,0,0,6
2023-02-06,5,0,2
2023-02-07,5,0,10
2023-02-08,9,0,0
2023-02-09,6,0,15
2023-02-10,2,0,2
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,4,1,1
2023-02-14,10,1,1
2023-02-15,2,0,19
2023-02-16,0,1,0
2023-02-17,1,0,9
2023-02-18,3,0,19
2023-02-19,0,0,0
2023-02-20,3,1,7
2023-02-21,10,0,1
2023-02-22,3,0,1
2023-02-23,11,1,14
2023-02-24,3,0,1
2023-02-25,0,0,0
2023-02-26,0,0,0
2023-02-27,3,0,1
2023-02-28,5,0,218
2023-03-01,3,0,13
2023-03-02,8,11,13
2023-03-03,4,2,0
2023-03-04,0,1,0
2023-03-05,0,0,0
2023-03-06,4,1,5
2023-03-07,7,0,5
2023-03-08,7,0,9
2023-03-09,2,0,12
2023-03-10,1,0,26
2023-03-11,0,0,2
2023-03-12,1,0,8
2023-03-13,1,0,2
2023-03-14,0,0,8
2023-03-15,0,0,19
2023-03-16,4,0,47
2023-03-17,2,7,14
2023-03-18,0,0,1
2023-03-19,0,0,13
2023-03-20,3,1,5
2023-03-21,3,0,35
2023-03-22,2,0,12
2023-03-23,8,1,3
2023-03-24,1,0,3
2023-03-25,0,0,7
2023-03-26,0,0,0
2023-03-27,9,0,17
2023-03-28,10,1,26
2023-03-29,6,0,36
2023-03-30,3,3,9
2023-03-31,6,0,0
2023-04-01,0,0,5
2023-04-02,0,0,0
2023-04-03,1,1,1
2023-04-04,5,1,24
2023-04-05,5,3,10
2023-04-06,11,1,2
2023-04-07,1,1,17
2023-04-08,1,0,0
2023-04-09,0,0,0
2023-04-10,4,0,4
2023-04-11,9,2,36
2023-04-12,10,9,28
